한글,영어,일어
교류 발전기,AC generator,
교류 전동기,AC motor,
교류 모터,AC motor,
교류 전동기,AC motor,
교류 모터,AC motor,
교류 전위차계,AC potentlometer,
교류 전압,AC voltage,
교류 용접기,AC welder,
가속제,accelerant,
촉진제,accelerant,
가속제,accelerant,
촉진제,accelerant,
가속 수명 시험,accelerated life test,
가속 수명 시험법,accelerated life test,
가속 수명 시험,accelerated life test,
가속 수명 시험법,accelerated life test,
가속 운동,accelerated motion,
가속 전압 주사,accelerating voltage scan,
가속,acceleration,
가속도,acceleration,
가속,acceleration,
가속도,acceleration,
가속기,accelerator,
가속제,accelerator,
가속기,accelerator,
가속제,accelerator,
받개,acceptor,
수용체,acceptor,
받개,acceptor,
수용체,acceptor,
받개 높이,acceptor level,
수용체 준위,acceptor level,
받개 높이,acceptor level,
수용체 준위,acceptor level,
접근,access,
부속,accessory,
부속품,accessory,
부속,accessory,
부속품,accessory,
우연 오차,accidental error,
순화,acclimation,
환경순응,acclimation,
순화,acclimation,
환경순응,acclimation,
환경순응,acclimatization,
순화,acclimatization,
환경순응,acclimatization,
순화,acclimatization,
수용 계수,accommodation coefficient,
회계,accounting,
회계적 항등식,accounting identity,
누적,accumulation,
축적량,accumulation,
누적량,accumulation,
축적,accumulation,
누적,accumulation,
축적량,accumulation,
누적량,accumulation,
축적,accumulation,
누적,accumulation,
축적량,accumulation,
누적량,accumulation,
축적,accumulation,
누적,accumulation,
축적량,accumulation,
누적량,accumulation,
축적,accumulation,
누산 시계,accumulation clock,
축적 시험,accumulation test,
축적성 시험,accumulation test,
축적 시험,accumulation test,
축적성 시험,accumulation test,
누산기,accumulator,
축압기,accumulator,
축열기,accumulator,
축전지,accumulator,
누산기,accumulator,
축압기,accumulator,
축열기,accumulator,
축전지,accumulator,
누산기,accumulator,
축압기,accumulator,
축열기,accumulator,
축전지,accumulator,
누산기,accumulator,
축압기,accumulator,
축열기,accumulator,
축전지,accumulator,
정확도,accuracy,
정확성,accuracy,
정확도,accuracy,
정확성,accuracy,
아쎄탈 수지,acetal resin,
아쎄트알데하이드,acetaldehyde,
아쎄트화,acetification,
아쎄트화반응,acetification,
아쎄트화,acetification,
아쎄트화반응,acetification,
아쎄트산 첨가분해,acetolysis,
아쎄트산 첨가분해반응,acetolysis,
아쎄트산 첨가분해,acetolysis,
아쎄트산 첨가분해반응,acetolysis,
아쎄틸화,acetylation,
아쎄틸화반응,acetylation,
아쎄틸화,acetylation,
아쎄틸화반응,acetylation,
아쎄틸렌,acetylene,
비손대칭성,achirality,
비키랄성,achirality,
비손대칭성,achirality,
비키랄성,achirality,
침상 구조,acicular structure,
산,acid,
산성 물감,acid dye,
산성 염료,acid dye,
산성 물감,acid dye,
산성 염료,acid dye,
산성 백토,acid earth,
산성 가스,acid gas,
산성 지시약,acid indicator,
산성 호수,acid lake,
산성 미스트,acid mist,
산성 운무,acid mist,
산성 미스트,acid mist,
산성 운무,acid mist,
산성 반응,acid reaction,
산성 토양,acid soil,
산성 성분,acidic component,
산성 기름,acidic oil,
산성화,acidification,
산도측정기,acidimeter,
산도측정법,acidimetry,
산도측정,acidimetry,
산도측정법,acidimetry,
산도측정,acidimetry,
산도,acidity,
산성도,acidity,
산도,acidity,
산성도,acidity,
산도 상수,acidity constant,
산도 함수,acidity function,
산성복합체,acidocomplex,
산성착물,acidocomplex,
산성복합체,acidocomplex,
산성착물,acidocomplex,
산첨가분해,acidolysis,
산첨가분해반응,acidolysis,
산첨가분해,acidolysis,
산첨가분해반응,acidolysis,
산성화제,acidulant,
산성화제,acidulator,
산성화제,acidulent,
침상 호변이성체,aci-tautomer,
음향 임피던스,acoustic impedance,
음파 산란,acoustic scattering,
음향 속도,acoustic velocity,
음향학,acoustics,
취득 시간,acquisition time,
아크릴 수지,acryl resin,
악티늄족 수축,actinide contraction,
악티늄족 원소,actinide element,
악티늄족,actinoid,
광량계,actinometer,
광량측정기,actinometer,
광량계,actinometer,
광량측정기,actinometer,
광량측정법,actinometry,
동작,action,
작용,action,
동작,action,
작용,action,
활성화 흡착,activated adsorption,
활성 흡착,activated adsorption,
활성화 흡착,activated adsorption,
활성 흡착,activated adsorption,
활성 알루미나,activated alumina,
활성 백토,activated clay,
활성 복합체,activated complex,
활성화 상태,activated state,
활성화 효과,activating effect,
활성화,activation,
활성화 분석,activation analysis,
방사화 분석,activation analysis,
활성화 분석,activation analysis,
방사화 분석,activation analysis,
활성화 에너지,activation energy,
활성화 엔트로피,activation entropy,
활성화 과전위,activation overpotential,
활성화제,activator,
유효 면적,active area,
활성 면적,active area,
유효 면적,active area,
활성 면적,active area,
활성 중심,active center,
활성 중심부,active center,
활성 중심,active center,
활성 중심부,active center,
활성 코active coke,
활성 코크스,active coke,
활성 코active coke,
활성 코크스,active coke,
유효 전류,active current,
능동 소자,active device,
능동 장치,active device,
능동 소자,active device,
능동 장치,active device,
활성 수소,active hydrogen,
활성 방식,active mode,
유효 동력,active power,
활성 자리,active site,
능동형 태양열 장치,active solar system,
설비형 태양열 장치,active solar system,
능동형 태양열 장치,active solar system,
설비형 태양열 장치,active solar system,
활성 고체,active solid,
능동 수송,active transport,
활성,activity,
활성도,activity,
활동도,activity,
활성,activity,
활성도,activity,
활동도,activity,
활성,activity,
활성도,activity,
활동도,activity,
활동도 계수,activity coefficient,
방사능 농도,activity concentration,
활동도 인자,activity factor,
활성 자극제,activity stimulant,
실제 효율,actual efficiency,
실제 섬세도,actual fineness,
실제 섬도,actual fineness,
실제 섬세도,actual fineness,
실제 섬도,actual fineness,
실제 기체가스,actual gas,
실제 기체,actual gas,
실제 기체가스,actual gas,
실제 기체,actual gas,
실제 수명,actual life,
실제 치수,actual size,
실제 크기,actual size,
실제 치수,actual size,
실제 크기,actual size,
현존 식물,actual vegetation,
실제 속도,actual velocity,
구동 신호,actuating signal,
작동 신호,actuating signal,
구동 신호,actuating signal,
작동 신호,actuating signal,
구동기,actuator,
작동기,actuator,
구동기,actuator,
작동기,actuator,
급성 중독,acute poisoning,
급성 독성,acute toxicity,
비고리 화합물,acyclic compound,
아씰레이스,acylase,
아씰화,acylation,
아씰화반응,acylation,
아씰화,acylation,
아씰화반응,acylation,
아씰 화합물,acylic compound,
아씰옥시화,acyloxylation,
아씰옥시화반응,acyloxylation,
아씰옥시화,acyloxylation,
아씰옥시화반응,acyloxylation,
적응,adaptation,
적응 증후군,adaptation syndrome,
수용기,adapter,
어댑터,adapter,
연결관,adapter,
연결기,adapter,
적응인자,adapter,
수용기,adapter,
어댑터,adapter,
연결관,adapter,
연결기,adapter,
적응인자,adapter,
수용기,adapter,
어댑터,adapter,
연결관,adapter,
연결기,adapter,
적응인자,adapter,
수용기,adapter,
어댑터,adapter,
연결관,adapter,
연결기,adapter,
적응인자,adapter,
수용기,adapter,
어댑터,adapter,
연결관,adapter,
연결기,adapter,
적응인자,adapter,
적응 변화,adaptive change,
적응 제어,adaptive control,
적응 효소,adaptive enzyme,
적응 조율,adaptive tuning,
흡착원자,adatom,
가산기,adder,
첨가 중합,addition polymerization,
첨가 중합반응,addition polymerization,
첨가 중합,addition polymerization,
첨가 중합반응,addition polymerization,
첨가 생성물,addition product,
첨가 반응,addition reaction,
첨가물,additive,
첨가제,additive,
첨가물,additive,
첨가제,additive,
첨가 2량체화,additive dimerization,
첨가 2합체화,additive dimerization,
첨가 2량체화,additive dimerization,
첨가 2합체화,additive dimerization,
가산성 오차,additive error,
더하기 오차,additive error,
가산성 오차,additive error,
더하기 오차,additive error,
더하기 법칙,additive law,
가산성 법칙,additive law,
더하기 법칙,additive law,
가산성 법칙,additive law,
더하기 원리,additive principle,
가산성 원리,additive principle,
더하기 원리,additive principle,
가산성 원리,additive principle,
가산 성질,additive property,
더하기 성질,additive property,
가산 성질,additive property,
더하기 성질,additive property,
가산성,additivity,
더하기성질,additivity,
가산성,additivity,
더하기성질,additivity,
더하기 법칙,additivity rule,
가산성 법칙,additivity rule,
더하기 법칙,additivity rule,
가산성 법칙,additivity rule,
번지,address,
주소,address,
번지,address,
주소,address,
첨가생성물,adduct,
첨가생성물 형성,adduct formation,
첨가생성 이온,adduct ion,
첨가 결정화,adductive crystallization,
냉동고착,adfreezing,
부착,adherence,
접착,adherence,
점착,adherence,
부착,adherence,
접착,adherence,
점착,adherence,
부착,adherence,
접착,adherence,
점착,adherence,
부착 수분,adherent moisture,
부착,adhesion,
점착,adhesion,
접착,adhesion,
부착,adhesion,
점착,adhesion,
접착,adhesion,
부착,adhesion,
점착,adhesion,
접착,adhesion,
부착 장력,adhesion tension,
접착제,adhesive,
부착 마모,adhesive wear,
단열 변화,adiabatic change,
단열 연소,adiabatic combustion,
단열 압축률,adiabatic compressibility,
단열 압축성,adiabatic compressibility,
단열 압축률,adiabatic compressibility,
단열 압축성,adiabatic compressibility,
단열 압축,adiabatic compression,
단열 변환,adiabatic conversion,
단열 전환,adiabatic conversion,
단열 변환,adiabatic conversion,
단열 전환,adiabatic conversion,
단열 자기소거,adiabatic demagnetization,
단열 효율,adiabatic efficiency,
단열 팽창,adiabatic expansion,
단열 불꽃 온도,adiabatic flame temperature,
단열 화염 온도,adiabatic flame temperature,
단열 불꽃 온도,adiabatic flame temperature,
단열 화염 온도,adiabatic flame temperature,
단열 흐름,adiabatic flow,
단열 가습,adiabatic humidification,
단열 조습,adiabatic humidification,
단열 증습,adiabatic humidification,
단열 가습,adiabatic humidification,
단열 조습,adiabatic humidification,
단열 증습,adiabatic humidification,
단열 가습,adiabatic humidification,
단열 조습,adiabatic humidification,
단열 증습,adiabatic humidification,
단열 살짝섭동,adiabatic perturbation,
단열 살짝흔듦,adiabatic perturbation,
단열 살짝섭동,adiabatic perturbation,
단열 살짝흔듦,adiabatic perturbation,
단열 공정,adiabatic process,
단열 과정,adiabatic process,
단열 공정,adiabatic process,
단열 과정,adiabatic process,
단열 반응,adiabatic reaction,
단열 반응기,adiabatic reactor,
단열 포화 온도,adiabatic saturation temperature,
보조 물감,adjective dye,
보조 염료,adjective dye,
보조 물감,adjective dye,
보조 염료,adjective dye,
수반 연산자,adjoint operator,
조정 장치,adjustable device,
가변 입출력비,adjustable gain,
가변 인덕턴스,adjustable inductance,
가변 저항,adjustable resistance,
조정 볼트,adjusting bolt,
조정 수나사,adjusting bolt,
조정 볼트,adjusting bolt,
조정 수나사,adjusting bolt,
조정 너트,adjusting nut,
조정 암나사,adjusting nut,
조정 너트,adjusting nut,
조정 암나사,adjusting nut,
조정 용수철,adjusting spring,
조정 스프링,adjusting spring,
조정 용수철,adjusting spring,
조정 스프링,adjusting spring,
조정,adjustment,
허용성,admissibility,
어드미턴스,admittance,
첨가물,admixture,
혼합물,admixture,
첨가물,admixture,
혼합물,admixture,
흡착능,adsorbability,
피흡착질,adsorbate,
흡착제,adsorbent,
흡착,adsorption,
흡착 용량,adsorption capacity,
흡착 크로마코그래프법,adsorption chromatography,
흡착 평형 상수,adsorption equilibrium constant,
흡착 다른길오감 현상,adsorption hysteresis,
흡착 지시약,adsorption indicator,
흡착 등온선,adsorption isotherm,
흡착능,adsorptivity,
흡착도,adsorptivity,
흡착능,adsorptivity,
흡착도,adsorptivity,
통기 흐름,aerated flow,
폭기 흐름,aerated flow,
통기 흐름,aerated flow,
폭기 흐름,aerated flow,
통기,aeration,
폭기,aeration,
통기,aeration,
폭기,aeration,
통기장치,aerator,
폭기장치,aerator,
통기장치,aerator,
폭기장치,aerator,
공기첨가,aerification,
호기생성물,aerobe,
호기성 박테리아,aerobic bacteria,
호기성 세균,aerobic bacteria,
호기성 박테리아,aerobic bacteria,
호기성 세균,aerobic bacteria,
호기성 미생물,aerobic microorganism,
호기성 산화,aerobic oxidation,
공기역학적 입자 직경,aerodynamic particle diameter,
기량계,aerometer,
기량측정기,aerometer,
기량계,aerometer,
기량측정기,aerometer,
연무제,aerosol,
에어러쏠,aerosol,
연무제,aerosol,
에어러쏠,aerosol,
친화도,affinity,
친화력,affinity,
친화도,affinity,
친화력,affinity,
친화성 크로마토그래프법,affinity chromatography,
후연소기,afterburner,
후냉각기,aftercooler,
지연효과,aftereffect,
후발효과,aftereffect,
지연효과,aftereffect,
후발효과,aftereffect,
뒤처리,aftertreatment,
후처리,aftertreatment,
뒤처리,aftertreatment,
후처리,aftertreatment,
우뭇가사리,agar,
한천,agar,
우뭇가사리,agar,
한천,agar,
마노,agate,
나이 분포,age distribution,
연령 분포,age distribution,
나이 분포,age distribution,
연령 분포,age distribution,
시효 경화,age hardening,
응집입자,agglomerater,
응집체,agglomerater,
응집입자,agglomerater,
응집체,agglomerater,
응집,agglomeration,
접합 계수,agglutination coefficient,
골재,aggregate,
응집체,aggregate,
집합체,aggregate,
골재,aggregate,
응집체,aggregate,
집합체,aggregate,
골재,aggregate,
응집체,aggregate,
집합체,aggregate,
집계 변수,aggregate variable,
집중 분포,aggregated distribution,
응집,aggregation,
집합,aggregation,
응집,aggregation,
집합,aggregation,
응집 유동화,aggregative fluidization,
숙성,aging,
노화,aging,
묵힘,aging,
숙성,aging,
노화,aging,
묵힘,aging,
숙성,aging,
노화,aging,
묵힘,aging,
숙성 탱크,aging tank,
휘저음 건조기,agitated dryer,
휘저음 추출기,agitated extractor,
휘저음 박막 증발기,agitated film evaporator,
교반,agitation,
휘저음,agitation,
교반,agitation,
휘저음,agitation,
휘저음장치,agitator,
휘젓개,agitator,
휘저음장치,agitator,
휘젓개,agitator,
농화학 살충제,agrichemical pesticide,
농약,agrichemicals,
농업 생태학,agricultural ecology,
농업 생태계,agricultural ecosystem,
공기 축적기,air accumulator,
공중 박테리아,air bacteria,
공기 중탕,air bath,
공기 분사,air blast,
공기 분사 분무기,air blast atomizer,
공기 분사 급냉,air blast quenching,
공기 브레이크,air brake,
공기 전지,air cell,
공기 분급기,air classifier,
공기 정화기,air cleaner,
공기 꼭지,air cock,
공기 집열기,air collector,
공기 압축기,air compressor,
공기 조화기,air conditioner,
공기 조화,air conditioning,
공기 도관,air conduit,
공기 콘베이어,air conveyer,
공기 이송기,air conveyer,
공기 콘베이어,air conveyer,
공기 이송기,air conveyer,
공기 냉각기,air cooler,
공기 냉각기,air cooling,
공기 커튼 후두,air curtain hood,
공기 쿳션,air cushion,
공기 순환 냉동,air cycle refrigeration,
공기 씰린더,air cylinder,
공기 제동식 저울,air damped balance,
공기 밀도,air density,
공기 건조 상태,air dried state,
공기 건조기,air dryer,
공기 건조,air drying,
공기 이터,air ejector,
공기 엔진,air engine,
공기 기관,air engine,
공기 엔진,air engine,
공기 기관,air engine,
공기 빼기 여닫개,air escape valve,
공기 빼기 밸브,air escape valve,
공기 빼기 여닫개,air escape valve,
공기 빼기 밸브,air escape valve,
공기 여과기,air filter,
공기 휠터,air filter,
공기 여과기,air filter,
공기 휠터,air filter,
기포 부유선별,air flotation,
공기 유량계,air flowmeter,
에어 휘일,air foil,
공기 동결,air freezing,
공기 망치,air hammer,
공기 경화,air hardening,
공기 가열기,air heater,
공기 가열 장치,air heating system,
공기 가열 방식,air heating type,
공기식 호이스트,air hoist,
공기식 기중기,air hoist,
공기식 호이스트,air hoist,
공기식 기중기,air hoist,
공기 구멍,air hole,
공기 호스,air hose,
공기 입구,air inlet,
공기 입구 밸브,air inlet valve,
공기 입구 여닫개,air inlet valve,
공기 입구 밸브,air inlet valve,
공기 입구 여닫개,air inlet valve,
공기 절연,air insulation,
공기 재,air jacket,
공기 산화,air oxidation,
공기 충전,air packing,
공기 피air peak,
공기 투과도,air permeability,
공기 투과성,air permeability,
공기 투과도,air permeability,
공기 투과성,air permeability,
공기 주머니,air pocket,
공기 오염,air pollution,
대기 오염,air pollution,
공기 오염,air pollution,
대기 오염,air pollution,
공기 오염 방지,air pollution control,
대기 오염 방지,air pollution control,
공기 오염 방지,air pollution control,
대기 오염 방지,air pollution control,
공기 예냉기,air precooler,
공기 예열기,air preheater,
공기 압력 시험,air pressure test,
공기 펌프,air pump,
공기 푸레,air pump,
공기 펌프,air pump,
공기 푸레,air pump,
공기 고온계,air pyrometer,
공기 급냉,air quenching,
공기 유속,air rate,
공기 받게,air receiver,
압축공기 탱크,air receiver,
공기 받게,air receiver,
압축공기 탱크,air receiver,
공기 뤠지스터,air register,
공기 조절기,air register,
공기 뤠지스터,air register,
공기 조절기,air register,
공기 저장기,air reservoir,
공기 저항,air resistance,
공기 채취기,air sampler,
공기 세척기,air scrubber,
공기 분리기,air separator,
공기 분출기,air sparger,
공기 표준 오토싸이클,air standard Ottocycle,
공기 멸균,air sterilization,
공기 탈기,air stripping,
공기 온도계,air thermometer,
공기 밸브,air valve,
공기 여닫개,air valve,
공기 밸브,air valve,
공기 여닫개,air valve,
공기 배출구,air vent,
공기 세척기,air washer,
공기 감염,airborne infection,
항공 측정,airborne measurement,
부유 입자,airborne particle,
공기부양,airlift,
기포 푸레,airlift pump,
공기스크류,airscrew,
프로펠러,airscrew,
공기스크류,airscrew,
프로펠러,airscrew,
기밀,airtight,
기밀 이음,airtight joint,
기밀 이음쇠,airtight joint,
기밀 이음,airtight joint,
기밀 이음쇠,airtight joint,
경보 장치,alarm device,
경보 신호,alarm signal,
소다장석,albite,
조장석,albite,
소다장석,albite,
조장석,albite,
연금술사,alchemist,
연금술,alchemy,
알코올 측정기,alcohol meter,
알코올 저항,alcohol resistance,
알코올첨가분해반응,alcoholysis,
알코올첨가분해,alcoholysis,
알코올첨가분해반응,alcoholysis,
알코올첨가분해,alcoholysis,
알돌레이스,aldolase,
말무리,algae,
조류,algae,
말무리,algae,
조류,algae,
조류 배양 시험,algal culture test,
대수학,algebra,
대수 방정식,algebraic equation,
알고리듬,algorithm,
연산논리,algorithm,
알고리듬,algorithm,
연산논리,algorithm,
맞춤,alignment,
정렬,alignment,
맞춤,alignment,
정렬,alignment,
지방족 화합물,aliphatic compound,
분취량,aliquot,
약수,aliquot,
분취량,aliquot,
약수,aliquot,
알라이트,alite,
약알칼리성,alkalescence,
알칼리,alkali,
알칼리 공업,alkali industry,
알칼리 정량,alkalimetry,
알칼리정량법,alkalimetry,
알칼리 정량,alkalimetry,
알칼리정량법,alkalimetry,
알칼리 응용,alkaline fusion,
알칼리 반응,alkaline reaction,
알칼리성 토양,alkaline soil,
알칼리도,alkalinity,
알칼로이드,alkaloid,
알카지드 공정,alkazid process,
알콕시수은화,alkoxymercuration,
알콕시수은화반응,alkoxymercuration,
알콕시수은화,alkoxymercuration,
알콕시수은화반응,alkoxymercuration,
알킬 유도체,alkyl derivative,
알킬 썬훤화,alkyl sulfonation,
알킬 썰훤화반응,alkyl sulfonation,
알킬 썬훤화,alkyl sulfonation,
알킬 썰훤화반응,alkyl sulfonation,
알킬화반응,alkylation,
알킬화,alkylation,
알킬화반응,alkylation,
알킬화,alkylation,
알킬화기,alkylator,
알킬화반응기,alkylator,
알킬화기,alkylator,
알킬화반응기,alkylator,
알킬옥시화,alkyloxylation,
알킬옥시화반응,alkyloxylation,
알킬옥시화,alkyloxylation,
알킬옥시화반응,alkyloxylation,
대립유전자,allele,
배정,allocation,
할당,allocation,
배정,allocation,
할당,allocation,
동족편극,allopolarization,
다른자리입체 효과,allosteric enzyme,
알로스테효과,allosteric enzyme,
다른자리입체 효과,allosteric enzyme,
알로스테효과,allosteric enzyme,
알로스테자리,allosteric site,
다른자리입체성 자리,allosteric site,
알로스테자리,allosteric site,
다른자리입체성 자리,allosteric site,
알로스테뤼즘,allosterism,
다른자리입체성,allosterism,
알로스테뤼즘,allosterism,
다른자리입체성,allosterism,
동소체,allotrope,
동소체성,allotropism,
동소체성,allotropy,
분배기,allotter,
허용 전류,allowable current,
허용 오차,allowable error,
허용 부하,allowable load,
허용 하중,allowable load,
허용 부하,allowable load,
허용 하중,allowable load,
허용 면찰 응력,allowable shearing stress,
허용 전단 응력,allowable shearing stress,
허용 면찰 응력,allowable shearing stress,
허용 전단 응력,allowable shearing stress,
허용 응력,allowable stress,
허용 온도,allowable temperature,
허용 전압,allowable voltage,
허용차,allowance,
허용차 단위,allowance unit,
허용 양자 상태,allowed quantum state,
허용 반응,allowed reaction,
허용 전이,allowed transition,
합금,alloy,
알릴자리 브롬화 반응,allylic bromination,
알릴자리 브롬화,allylic bromination,
알릴자리 브롬화 반응,allylic bromination,
알릴자리 브롬화,allylic bromination,
알릴자리 재배열,allylic halogenation,
알화 절단,allylic system,
알화 붕괴,alpha cleavage,
알화 효과,alpha decay,
알화 효과,alpha effect,
알화 방출,alpha emission,
알화 방출제,alpha emitter,
알화 입자,alpha particle,
알화 선,alpha ray,
교대 탄화수소,alternant hydrocarbon,
교대 공중합체,alternating copolymer,
교대 혼성중합체,alternating copolymer,
교대 공중합체,alternating copolymer,
교대 혼성중합체,alternating copolymer,
대체 에너지,alternative energy,
교류 발전기,alternator,
백반,alum,
알루미나 씨멘트,alumina cement,
알루미늄산염,aluminate,
알루미노규산염 흡착제,aluminosilicate adsorbent,
알루미늄 휘일,aluminum foil,
명반석,alunite,
아말감 전극,amalgam electrode,
아말감화,amalgamation,
암버 돌연변이,amber mutation,
여러자리 음이온,ambident anion,
여러자리성 음이온,ambident anion,
여러자리 음이온,ambident anion,
여러자리성 음이온,ambident anion,
여러자리 친핵성,ambident nucleophilicity,
여러자리성 리간드,ambidentate ligand,
주변 공기,ambient air,
주위 공기,ambient air,
주변 공기,ambient air,
주위 공기,ambient air,
주변 온도,ambient temperature,
양쪽극 퍼짐,ambipoar diffusion,
양쪽극 확산,ambipoar diffusion,
양쪽극 퍼짐,ambipoar diffusion,
양쪽극 확산,ambipoar diffusion,
아미테이스,amidase,
아미드화,amidation,
아미드화반응,amidation,
아미드화,amidation,
아미드화반응,amidation,
아미드 규칙,amide rule,
아미노화반응,amination,
아미노화,amination,
아미노화반응,amination,
아미노화,amination,
아미노 말단,amino end,
아미노 수지,amino resin,
아미노알킬화,aminoalkylation,
아미노알킬화반응,aminoalkylation,
아미노알킬화,aminoalkylation,
아미노알킬화반응,aminoalkylation,
전류계,ammeter,
암모니아배출 생물,ammomotelic organism,
암모니아 합성 가스,ammonia synthesis gas,
암모늄 백반,ammonium alum,
암모노 화합물,ammono compound,
암모니아첨가분해,ammonolysis,
암모니아첨가분해반응,ammonolysis,
암모니아첨가분해,ammonolysis,
암모니아첨가분해반응,ammonolysis,
무정형 고분자,amorphous polymer,
비결졍 고분자,amorphous polymer,
무정형 고분자,amorphous polymer,
비결졍 고분자,amorphous polymer,
비결정질 침전물,amorphous precipitation,
비결정 침전,amorphous precipitation,
비결정질 침전물,amorphous precipitation,
