한글,영어,일어
흡착 현상,absorption phenomenon,
흡수 냉동기,absorption refrigerating machine,
흡수식 냉동기,absorption refrigerator,
흡수 스펙트럼,absorption spectrum,吸?スペクトル(キュウシュウスペクトル)
흡수율,absorptivity,
교류 발전기,AC generator,
교류 전동기,AC motor,
AC 가변속 모터,AC variable speed motor,
가속 연료실,accelerating well,
가속도,acceleration,
가속도 픽업,acceleration pickup,
가속 펌프,acceleration pump,
감진계,acceleration seismograph apparatus,
가속기,accelerator,
가속 페달,accelerator pedal,
가속 펌프,accelerator pump,
가속도계,accelerometer,
인수 시험,acceptance test,
억셉터,acceptor,アクセプタ(アクセプタ)
액세스,access,
접근성,accessibility,
부속품,accessories,
액세서리,accessory,
부속품,accessory,
액세서리,accessory,
부속품,accessory,
고장,accident,
사고,accident,
재해,accident,
고장,accident,
사고,accident,
재해,accident,
고장,accident,
사고,accident,
재해,accident,
우연 오차,accidental error,
어큐뮬레이터,accumulator,
정밀도,accuracy,精度(セイド【セイミツド】)
아세테이트,acetate,
아세톤,acetone,
아세틸렌,acetylene,
아세틸렌 가스,acetylene gas,
아세틸렌 가스 발생기,acetylene gas generator,
침상 조직,acicular structure,
산,acid,酸(サン)
애시드,acid,酸(サン)
산,acid,酸(サン)
애시드,acid,酸(サン)
산성 전로,acid Bessemer converter,
산성 벽돌,acid brick,
산 세정,acid cleaning,酸洗?(サンセンジョウ)
산성 평로,acid open-hearth furnace,
산성법,acid process,
내산,acid proof,
내산 합금,acid resisting alloy,
내산 페인트,acid resisting paint,
애시드 스멋,acid smut,
내산강,acid steel,
산가,acid value,酸?(サンカ【acid value】)
애크미 나사,Acme thread,
사다리꼴 나사 탭,Acme thread tap,
애크미 나사 탭,Acme thread tap,
사다리꼴 나사 탭,Acme thread tap,
애크미 나사 탭,Acme thread tap,
음향 방사,acoustic emission,アコ?スティックエミッション(アコ?スティックエミッション)
음향 검사,acoustic inspection,音響?査(オンキョウケンサ)
음파 검사,acoustic inspection,音響?査(オンキョウケンサ)
음향 검사,acoustic inspection,音響?査(オンキョウケンサ)
음파 검사,acoustic inspection,音響?査(オンキョウケンサ)
음속,acoustic velocity,
아크릴 수지,acrylic resin,アクリル樹脂(アクリルジュシ)
기능,action,
작용,action,
기능,action,
작용,action,
활성화 반응 증착법,activated reactive evaporation,
액티베이션,activation,活性化(カッセイカ)
활성화,activation,活性化(カッセイカ)
액티베이션,activation,活性化(カッセイカ)
활성화,activation,活性化(カッセイカ)
방사능,activity,活性(カッセイ)
진 파단 응력,actual breaking stress,
실제 효율,actual efficiency,
실양정,actual head,
실제 치수,actual size,
진응력,actual stress,
실제 목두께,actual throat,
절대 속도,actual velocity,
액추에이터,actuator,アクチュエ?タ(アクチュエ?タ)
예각,acute angle,?角(エイカク)
애덤슨 이음,Adamson's joint,
애덤슨 링,Adamson's ring,
어댑터,adapter,アダプタ(アダプタ)
구속 적응 제어,adaptive control constraint,
최적 적응 제어,adaptive control optimization,
어덴덤,addendum,
어덴덤 원,addendum circle,
전위 계수,addendum modification coefficient,
덧셈기,adder,
점착력,adhesion,
점착 브레이크,adhesion brake,
점착 중량,adhesion weight,
접착제,adhesive,
접착제,adhesive cement,
접착제,adhesive material,
점착 마멸,adhesive wear,
단열 변화,adiabatic change,
단열 압축,adiabatic compression,?熱?縮(ダンネツアッシュク)
단열 효율,adiabatic efficiency,
단열 팽창,adiabatic expansion,?熱膨張(ダンネツボウチョウ)
단열 열낙차,adiabatic heat drop,
단열 과정,adiabatic process,?熱過程(ダンネツカテイ)
조정,Adjust,
조정 나사,adjust screw,
조정식,adjustable,
조정 베어링,adjustable bearing,
조정 안내 베인,adjustable guide vane,
가변 피치 프로펠러,adjustable pitch-propeller,
조정 리머,adjustable reamer,
조정 원통형 리머,adjustable shell reamer,
자재 스패너,adjustable spanner,
조정 볼트,adjusting bolt,
조정 장치,adjusting device,
조정 나사,adjusting screw,
조정 스프링,adjusting spring,
조정,adjustment,
애드미럴티 메탈,admiralty metal,
진입,admission,
급기,admission,
진입,admission,
급기,admission,
급기 행정,admission stroke,
흡착,adsorption,
선행 제어,advanced control,先回り制御(サキマワリセイギョ)
조기 점화,advanced ignition,
진입측,advancing side,
큰 자귀,adz,
공기 혼입,aeration,エアレ?ション(エアレ?ション)
가공 삭도,aerial cable way,
공력 중심,aerodynamic center,
공력 가열,aerodynamic heating,
공력 균형,aerodynamical balance,
항공 역학,aerodynamics,
공기 역학,aerodynamics,
항공 역학,aerodynamics,
공기 역학,aerodynamics,
항공 기관,aeroengine,
항공 발동기,aeroengine,
항공 기관,aeroengine,
항공 발동기,aeroengine,
에어로포일,aerofoil,
비중계,aerometer,
에어로미터,aerometer,
비중계,aerometer,
에어로미터,aerometer,
항공학,aeronautics,
비행기,aeroplane,
에어로슬라이드,aeroslide,
에어로졸,aerosol,エ?ロゾル(エ?ロゾル)
에어로졸 용기,aerosol cans,
공기 정력학,aerostatics,
변질부,affected zone,
선미 기관,aft engine,
애프터 블로,after blow,
후방 연소기,after burner,
애프터 버너,after burner,
후방 연소기,after burner,
애프터 버너,after burner,
애프터 버닝,after burning,後燃え(アトモエ)
애프터 케어,after care,
후처리,after treatment,
"애프터버너, 후기 연소기",afterburner,
시효 경화,age hardening,時?硬化(ジコウコウカ)
경년 변화,aged deterioration,
노화,ageing,
노화,aging,
시효,aging,
노화,aging,
시효,aging,
교반기,agitator,
암페어 시,Ah,
보조익,aileron,エルロン(エルロン)
공기,air,
공기 축적기,air accumulator,
공기 아세틸렌 용접,air acetylene welding,
공기 균형 장치,air balancer,
공기 베어링,air bearing,
에어 블라스트,air blast,
공기 분사,air blast,
에어 블라스트,air blast,
공기 분사,air blast,
공기 분사 분무기,air blast atomizer,
공기 동결,air blast freezing,
공기 블리드 방식,air bleed system,
"공기 블리더, 공기 뽑기",air bleeder,
에어 브레이크,air brake,
공기 브레이크,air brake,
공기 제동기,air brake,
에어 브레이크,air brake,
공기 브레이크,air brake,
공기 제동기,air brake,
에어 브레이크,air brake,
공기 브레이크,air brake,
공기 제동기,air brake,
에어 케이싱,air casing,
공기실식 기관,air cell engine,
공기실,air chamber,
공기 충전 시험,air charging test,
공기 척,air chuck,
공기 청정기,air cleaner,
공기 연동기,air clutch,
공기 콕,air cock,
공기 압축기,air compressor,
공기 조화기,air conditioner,
공기 조절,air conditioning,
공기 조화,air conditioning,
공기 조절,air conditioning,
공기 조화,air conditioning,
냉방 장치,air conditioning apparatus,
공기 조화 시스템,air conditioning system,
"공기로, 공기 도관",air conduit,
공기 컨베이어,air conveyor,
에어 컨베이어,air conveyor,
공기 컨베이어,air conveyor,
에어 컨베이어,air conveyor,
공랭 익렬,air cooled cascade blade,
공랭 실린더,air cooled cylinder,
공랭식 발동기,air cooled engine,
공기 냉각 밸브,air cooled valve,
공랭 밸브,air cooled valve,
공기 냉각 밸브,air cooled valve,
공랭 밸브,air cooled valve,
공기 냉각기,air cooler,
공냉,air cooling,
항공기,air craft,
기류,air current,
공기 큐션,air cushion,
에어 쿠션,air cushion,
공기 큐션,air cushion,
에어 쿠션,air cushion,
에어 쿠션 성형법,air cushion process,
에어 쿠션 프로세스,air cushion process,
에어 쿠션 성형법,air cushion process,
에어 쿠션 프로세스,air cushion process,
에어 쿠션 방식,air cushion system,
에어 쿠션기,air cushion vehicle,
공기 실린더,air cylinder,
에어 댐퍼,air damper,
공기 밀도,air density,
통풍로,air duct,
풍도,air duct,
에어 덕트,air duct,
통풍로,air duct,
풍도,air duct,
에어 덕트,air duct,
통풍로,air duct,
풍도,air duct,
에어 덕트,air duct,
에어 이젝터,air ejector,
공기 추출기,air ejector,
에어 이젝터,air ejector,
공기 추출기,air ejector,
공기 기관,air engine,
공기 원동기,air engine,
공기 기관,air engine,
공기 원동기,air engine,
공기 빼기 파이프,air escape pipe,
에어 빼기 밸브,air escape valve,
공기 필터,air filter,
공기압 필터,air filter,
공기 필터,air filter,
공기압 필터,air filter,
공기 냉동,air freezing,
공기 동결,air freezing,
공기 냉동,air freezing,
공기 동결,air freezing,
공연비,air fuel ratio,
"공극, 에어갭",air gap,
공기 해머,air hammer,
에어 해머,air hammer,
공기 해머,air hammer,
에어 해머,air hammer,
공랭 경화강,air hardening steel,
자경강,air hardening steel,
공랭 경화강,air hardening steel,
자경강,air hardening steel,
공기 가열기,air heater,
공기 호이스트,air hoist,
에어 호이스트,air hoist,
공기 호이스트,air hoist,
에어 호이스트,air hoist,
공기 구멍,air hole,
기적,air horn,
공기 침입,air infiltration,
공기 분사,air injection,
"공기 입구, 공기 흡입구",air inlet,
흡기 캠,air inlet cam,
흡기 밸브,air inlet valve,
에어 재킷,air jacket,
에어 제트,air jet,
기포 펌프,air lift pump,
에어 리프트 펌프,air lift pump,
공기 양수 펌프,air lift pump,
기포 펌프,air lift pump,
에어 리프트 펌프,air lift pump,
공기 양수 펌프,air lift pump,
기포 펌프,air lift pump,
에어 리프트 펌프,air lift pump,
공기 양수 펌프,air lift pump,
에어 마이크로미터,air micrometer,
공기 마이크로미터,air micrometer,
에어 마이크로미터,air micrometer,
공기 마이크로미터,air micrometer,
공기관,air pipe,風管(フウカン【クダ】)
에어 포켓,air pocket,
대기 오염,air pollution,
공기 해머,air power hammer,
공기 예열기,air preheater,
에어 펌프,air pump,
공기 펌프,air pump,
에어 펌프,air pump,
공기 펌프,air pump,
공기 담금질,air quenching,
공기비,air ratio,
공기 레지스터,air register,
에어 레지스터,air register,
공기 레지스터,air register,
에어 레지스터,air register,
"공기 저장소, 공기조",air reservoir,
공기 저항,air resistance,
공기 분리기,air separator,
에어슈터,air shooter,
기송관 장치,air shooter,
에어슈터,air shooter,
기송관 장치,air shooter,
공기 슬라이드,air slide,
통기 틈새,air space,
풍속계,air speedometer,
"에어 스프링, 공기 스프링",air spring,
공기 스프링,air suspension,
공기 탱크,air tank,
공기 온도계,air thermometer,
"공기 통로, 에어 덕트",air trunk,
공기 구멍,air vent,
통기공,air vent,
공기 구멍,air vent,
통기공,air vent,
공기 세정 장치,air washer,
기적,air whistle,
공랭 실린더,air-cooled cylinder,
공랭 기관,air-cooled engine,
공랭,air-cooling,
항공기,aircraft,航空機(コウクウキ)
항공 엔진,aircraft engine,
에어플렉스,airflex,
날개,airfoil,
익형부,airfoil section,
무기 분사,airless injection,
무기 분사식 기관,airless injection engine,
항공기,airplane,
비행선,airship,
통기 면적,airspace,
에어스테어,airstair,
에어타이트,airtight,
기밀,airtight joint,
기밀 이음,airtight joint,
기밀,airtight joint,
기밀 이음,airtight joint,
에어리 점,Airy points,
아크리트,akrit,
경보,alarm,
얼람,alarm,
경보,alarm,
얼람,alarm,
비상 밸브,alarm valve,
알클래드,alclad,
알코올,alcohol,アルコ?ル(アルコ?ル)
알드레이,aldrey,
앨핀법,alfin process,
알고리듬,algorithm,アルゴリズム(アルゴリズム)
알골,algorithmic language,
얼라이너,aligner,
심 맞추기,alignment,アラインメント(アラインメント)
얼라인먼트,alignment,アラインメント(アラインメント)
심 맞추기,alignment,アラインメント(アラインメント)
얼라인먼트,alignment,アラインメント(アラインメント)
정밀도 검사,alignment test,
알리티어런,alitieren,
알칼리,alkali,
알칼리 세정,alkali cleaning,アルカリ洗?(アルカリセンジョウ)
알칼리 부식,alkali embrittlement,
알칼리 취성,alkali embrittlement,
알칼리 부식,alkali embrittlement,
알칼리 취성,alkali embrittlement,
알칼리도,alkalinity,
앨리게이터 파스너,alligator fastener,
악어 입 스패너,alligator pipe wrench,
앨리게이터 절단기,alligator shear,
동소 변태,allotropic transformation,
허용 오차,allowable error,
허용 하중,allowable load,許容荷重(キョヨウカジュウ)
허용 응력,allowable stress,許容?力(キョヨウオウリョク)
허용 온도,allowable temperature,
여유,allowance,引?金(ヒキアテキン)
허용차,allowance,引?金(ヒキアテキン)
공차,allowance,引?金(ヒキアテキン)
여유,allowance,引?金(ヒキアテキン)
허용차,allowance,引?金(ヒキアテキン)
공차,allowance,引?金(ヒキアテキン)
여유,allowance,引?金(ヒキアテキン)
허용차,allowance,引?金(ヒキアテキン)
공차,allowance,引?金(ヒキアテキン)
수축 여유,allowance for contraction,
다듬질 여유,allowance for machining,
얼로이,alloy,合金(ゴウキン)
합금,alloy,合金(ゴウキン)
얼로이,alloy,合金(ゴウキン)
합금,alloy,合金(ゴウキン)
저온용 합금,alloy for low temperature use,
자연 발색 합금,alloy for self-colour anodizing,
합금철,alloy iron,
합금강,alloy steel,合金鋼(ゴウキンコウ)
얼로이 트랜지스터,alloy transistor,
합금강,alloyed steel,
합금철,alloyed steel,
합금강,alloyed steel,
합금철,alloyed steel,
알니코 자석,alnico magnet,
알팍스,alpax,
알파,alpha,
a 철,alpha iron,
a 선,alpha particle,
교번 하중,alternate load,
1점 쇄선,alternate long and short dash line,
2점 쇄선,alternate long and two short dashes line,
교번 응력,alternate stress,
교류,alternating current,
교류 아크 용접,alternating current arc welding,
교류 발전기,alternating current generator,
교류 전동기,alternating current motor,
양진 응력,alternating stress,
대체 에너지,alternative energy,
교류 발전기,alternator,
고도계,altimeter,
앨티미터,altimeter,
고도계,altimeter,
앨티미터,altimeter,
고도계,altitude,
고도 제어,altitude control,
알루두르,aludur,
알루만,aluman,
내식,aluman,
알루만,aluman,
내식,aluman,
알루미나,alumina,アルミナ(アルミナ)
알루미,aluminium,
알루미늄 합금,aluminium alloy,
발색 알루미늄 합금,aluminium alloy for self-colour anodizing,
알루미늄 동,aluminium bronze,
알루미뉴 청동,aluminium bronze,
알루미늄 금,aluminium bronze,
알루미늄 동,aluminium bronze,
알루미뉴 청동,aluminium bronze,
알루미늄 금,aluminium bronze,
알루미늄 동,aluminium bronze,
알루미뉴 청동,aluminium bronze,
알루미늄 금,aluminium bronze,
알루미늄 페인트,aluminium paint,
알루미나이징 강판,aluminizing steel,
알루미늄,aluminum,アルミニウム(アルミニウム)
알루미늄 증기 도금,aluminum calorizing,
알루미늄 파형판,aluminum corrugated sheet,
알루마이트,alumite,アルマイト(アルマイト)
알루마이트법,alumite method,
알런덤,Alundum,
아말감,amalgam,アマルガム(アマルガム)
아말거메이션,amalgamation,
주위 공기,ambient air,
주위 온도,ambient temperature,
미국 기계 학회,American Society of Mechanical Engineers,
미국 시험ㆍ재료 협회,American Society of Testing and Materials,
미국 나사,American standard thread,
미국 표준 나사,American standard thread,
미국 나사,American standard thread,
미국 표준 나사,American standard thread,
전류계,ammeter,電流計(デンリュウケイ)
암모니아,ammonia,アンモニア(アンモニア)
암모니아 부식,ammonia corrosion,
아몽통 법칙,Amonton's law,
무정형 탄소,amorphous carbon,
비결정질 합금,amorphous metal,
전위량,amount of addendum modification,
암프코 메탈,Ampco metal,
암페어,ampere,
암페어 시,Ampere Hour,
전류계,ampere meter,
암페어 시,ampere-hour,
암페어턴,ampere-turn,
암페러스탯,amperostat,
증폭,amplification,
앰프,amplifier,?幅器(ゾウフクキ)
앰플리파이어,amplifier,?幅器(ゾウフクキ)
증폭기,amplifier,?幅器(ゾウフクキ)
앰프,amplifier,
앰플리파이어,amplifier,
증폭기,amplifier,
앰프,amplifier,
앰플리파이어,amplifier,
증폭기,amplifier,
진폭,amplitude,振幅(シンプク)
앰슬러 만능 재료 시험기,Amsler's universal material testing machine,
아날로그,analog,
아날로그 제어,analog control,
아날로그 계기,analog instrument,
AD 변환기,analog to digital converter,
아날로그 컴퓨터,analogue computer,
아날로그 신호,analogue signal,
검광자,analyser,
분석,analysis,解析(カイセキ)
가동 분석,analysis of operation,
앵커,anchor,アンカ(アンカ)
앵커 볼트,anchor bolt,アンカ?ボルト(アンカ?ボルト)
앵커 이스케이프먼트,anchor escapement,
앵커 프레임,anchor frame,
정박등,anchor light,
고정,anchoring,
AND회로,AND circuit,AND回路(ANDカイロ)
논리곱 회로,AND circuit,AND回路(ANDカイロ)
AND회로,AND circuit,AND回路(ANDカイロ)
논리곱 회로,AND circuit,AND回路(ANDカイロ)
AND 게이트,AND gate,
안드로폼 법,Androform process,
의탄성,anelasticity,
기록 풍속계,anemograph,
애니모미터,anemometer,風速計(フウソクケイ)
풍속계,anemometer,風速計(フウソクケイ)
애니모미터,anemometer,風速計(フウソクケイ)
풍속계,anemometer,風速計(フウソクケイ)
풍향계,anemoscope,
아네로이드 기압계,aneroid barometer,
각,angle,
각도,angle,
앵글,angle,
각,angle,
각도,angle,
앵글,angle,
각,angle,
각도,angle,
앵글,angle,
L 형강,angle bar,
앵글 벤더,angle bender,
앵글 브레이스,angle brace,
경사 맞대기 용접,angle butt weld,
각도 게이지,angle gauge,
앵글 게이지,angle gauge,
각도 게이지,angle gauge,
앵글 게이지,angle gauge,
앵글 기어,angle gear,
앵글 이음,angle joint,
전진각,angle of advance,
접근각,angle of approach,
영입각,angle of attack,迎え角(ムカエカク)
받음각,angle of attack,迎え角(ムカエカク)
영입각,angle of attack,迎え角(ムカエカク)
받음각,angle of attack,迎え角(ムカエカク)
접촉각,angle of contact,
처짐각,angle of deflection,
지연각,angle of delay,
강하각,angle of descent,
마찰각,angle of friction,
입사각,angle of incidence,入射角(ニュウシャカク)
경사각,angle of inclination,
경각,angle of inclination,
경사각,angle of inclination,
경각,angle of inclination,
압력각,angle of obliquity of action,
퇴거각,angle of recess,
반사각,angle of reflection,
굴절각,angle of refraction,
여유각,angle of relief,
안식각,angle of repose,安息角(アンソクカク)
롤링각,angle of roll,
후퇴각,angle of sweep back,
나사산 각,angle of thread,
비틀림각,angle of torsion,
비틀림각,angle of twist,
투상각,angle of view,
투영각,angle of view,
화각,angle of view,
투상각,angle of view,
투영각,angle of view,
화각,angle of view,
투상각,angle of view,
투영각,angle of view,
화각,angle of view,
편향각,angle of yaw,
가로 정반,angle plate,
앵글 플레이트,angle plate,
가로 정반,angle plate,
앵글 플레이트,angle plate,
산형강,angle steel,山形鋼(ヤマガタコウ)
L 형강,angle steel,山形鋼(ヤマガタコウ)
산형강,angle steel,山形鋼(ヤマガタコウ)
L 형강,angle steel,山形鋼(ヤマガタコウ)
앵글 밸브,angle valve,
각 용접,angle welding,
모서리 용접,angle welding,
각 용접,angle welding,
모서리 용접,angle welding,
각 가속도,angular acceleration,
전진각,angular advance,
개구각,angular aperture,
사교 베벨 기어,angular bevel gears,
앵귤러 콘택트 볼 베어링,angular contact ball bearing,
각 밀링 커터,angular cutter,
산형 밀링 커터,angular cutter,
각 밀링 커터,angular cutter,
산형 밀링 커터,angular cutter,
각 진동수,angular frequency,
각 운동량,angular momentum,
각운동,angular motion,
각속도,angular velocity,
아닐린 수지,aniline resin,アニリン樹脂(アニリンジュシ)
동물유,animal oil,
음이온,anion,アニオン(アニオン)
음이온 교환탑,anion exchange tower,
부등,aniso-,
부동,aniso-,
부등,aniso-,
부동,aniso-,
이방성 자석,anisotropic magnet,
이방성,anisotropy,異方性(イホウセイ)
연동선,annealed copper wire,
어닐링,annealing,?なまし(ヤキナマシ)
풀림,annealing,?なまし(ヤキナマシ)
어닐링,annealing,?なまし(ヤキナマシ)
풀림,annealing,?なまし(ヤキナマシ)
어닐링 노,annealing furnace,?なまし?(ヤキナマシロ)
환싱 연소기,annular combustion chamber,
환상 연소실,annular combustion chamber,
환싱 연소기,annular combustion chamber,
환상 연소실,annular combustion chamber,
환상 유동,annular flow,環?流(カンジョウリュウ)
환상 밸브,annular valve,
링형 밸브,annular valve,
환상 밸브,annular valve,
링형 밸브,annular valve,
애노드,anode,
양극,anode,
애노드,anode,
양극,anode,
양극 글로,anode glow,
양극 앙금,anode slime,
양극 슬라임,anode slime,
양극 앙금,anode slime,
양극 슬라임,anode slime,
양극 피복,anodic coating,
양극 산화,anodization,
양극 처리,anodizing,陽極酸化?理(ヨウキョクサンカショリ)
안테나,antenna,
준비실,anteroom,
무연탄,anthracite,
내식 합금,anticorrosion alloy,
방식제,anticorrosive,
방청제,anticorrosive,
방식제,anticorrosive,
방청제,anticorrosive,
방청 도료,anticorrosive paint,
앤티노크 연료,antidetonation fuel,
앤티노크제,antidetonator,
제폭제,antidetonator,
앤티노크제,antidetonator,
제폭제,antidetonator,
제전성 섬유,anti-electrostatic fiber,
오염 방지 페인트,antifouling paint,
동결 방지제,antifreeze,
부동액,antifreezing solution,
감마재,antifriction material,
감마 메탈,antifriction metal,
감마 합금,antifriction metal,
감마 메탈,antifriction metal,
감마 합금,antifriction metal,
감마 롤러,antifriction roller,
앤티노크성,antiknock,
앤티노크 연료,antiknock fuel,
앤티노크제,antiknocking material,
앤티노킹성,antiknocking quality,
안티몬,antimony,アンチモン(アンチモン)
안티모니,antimony,アンチモン(アンチモン)
안티몬,antimony,アンチモン(アンチモン)
안티모니,antimony,アンチモン(アンチモン)
수분 유출 방지관,antipriming pipe,
반공진,antiresonance,
스케일 방지제,antiscales,
미끄럼 방지,anti-skid,
대전 방지제,antistatic agent,?電防止?(タイデンボウシザイ)
앤빌,anvil,アンビル(アンビル)
모루,anvil,アンビル(アンビル)
앤빌,anvil,アンビル(アンビル)
모루,anvil,アンビル(アンビル)
앤빌 블록,anvil block,
감쇠 운동,aperiodic motion,
무주기 운동,aperiodic motion,
감쇠 운동,aperiodic motion,
무주기 운동,aperiodic motion,
구경,aperture,
구경비,aperture ratio,
장치,apparatus,
겉보기 비중,apparent specific gravity,
외관 비중,apparent specific gravity,
겉보기 비중,apparent specific gravity,
외관 비중,apparent specific gravity,
겉보기 점도,apparent viscosity,
응용,application,
적용,application,
응용,application,
적용,application,
응용 기술 위성,application technology satellite,
어플라이드 메커닉스,applied mechanics,
응용 역학,applied mechanics,
어플라이드 메커닉스,applied mechanics,
응용 역학,applied mechanics,
"접근각, 어프로치 각",approach angle,
"접근 속도, 어프로치 속도",approach speed,
승인도,approved drawing,
에이프런,apron,
에이프런 컨베이어,apron conveyer,
에이프런 피더,apron feeder,
에이프런 송급기,apron feeder,
에이프런 피더,apron feeder,
에이프런 송급기,apron feeder,
수중 호흡기,aqualung,
애퀄렁,aqualung,
수중 호흡기,aqualung,
애퀄렁,aqualung,
AR합금,AR alloy,
아랄다이트,Araldite,
아버,arbor,
아버,arbour,
아크,arc,
아크 에어 가우징,arc air gouging,
아크 경랍땜,arc brazing,
아크 용단,arc cutting,ア?ク切?(ア?クセツダン)
아크 절단,arc cutting,ア?ク切?(ア?クセツダン)
아크 용단,arc cutting,ア?ク切?(ア?クセツダン)
아크 절단,arc cutting,ア?ク切?(ア?クセツダン)
아크 방전,arc discharge,ア?ク放電(ア?クホウデン)
아크끝,arc end,
아크로,arc furnace,ア?ク?(ア?クロ)
방전 경화법,arc hardening,
아크 이미지로,arc image furnace,
아크등,arc lamp,ア?クランプ(ア?クランプ)
아크 길이,arc length,
접촉호,arc of contact,
아크 스폿 용접,arc spot welding,
"아크 안정제, 아크 안전장치",arc stabilizer,
아크 스터드 용접,arc stud welding,
아크 전압,arc voltage,
아크 용접,arc welding,ア?ク溶接(ア?クヨウセツ)
아치,arch,
아치 보,arched beam,
아치 빔,arched beam,
아치 보,arched beam,
아치 빔,arched beam,
아치 거더,arched girder,
아르키메데스의 원리,Archimedes principle,
아르키메데스의 스크루 펌프,Archimedian screw pump,
아르코겐 용접,arcogen welding,
면적 모멘트 법,area moment method,
아르곤,argon,アルゴン(アルゴン)
아르곤 아크 용접,argon arc welding,
산수,arithmetic,
산술,arithmetic,
산수,arithmetic,
산술,arithmetic,
산술 평균,arithmetic mean,
연산 장치,arithmetic unit,演算器(エンザンキ)
암,arm,
팔굽,arm,
팔,arm,
간,arm,
완목,arm,
암,arm,
팔굽,arm,
팔,arm,
간,arm,
완목,arm,
암,arm,
팔굽,arm,
팔,arm,
간,arm,
완목,arm,
암,arm,
팔굽,arm,
팔,arm,
간,arm,
완목,arm,
암,arm,
팔굽,arm,
팔,arm,
간,arm,
완목,arm,
암 크레인,arm crane,
암 엘리베이터,arm elevator,
암 레스트,arm rest,
아마추어,armature,電機子(デンキシ)
전기자,armature,電機子(デンキシ)
접촉자,armature,電機子(デンキシ)
아마추어,armature,電機子(デンキシ)
전기자,armature,電機子(デンキシ)
접촉자,armature,電機子(デンキシ)
아마추어,armature,電機子(デンキシ)
전기자,armature,電機子(デンキシ)
접촉자,armature,電機子(デンキシ)
전기자 철심,armature core,
전기자 권선,armature winding,
전기자 코일선,armature winding,
전기자 권선,armature winding,
전기자 코일선,armature winding,
장갑판,armour plate,
암즈 브론즈,arms bronze,
방향족 화합물,aromatic compound,
배치,arrangement,
배열,arrangement,
배치,arrangement,
배열,arrangement,
배치도,arrangement drawing,
배치도,arrangement plan,
배열,array,
어레이,array,
배열,array,
어레이,array,
정지점,arrest point,
정점,arrest point,
정지점,arrest point,
정점,arrest point,
어레스터,arrester,避雷器(ヒライキ)
화살표,arrow head,
미장 강판,art metal,
관절 연결차,articulated car,
연접차,articulated car,
관절 연결차,articulated car,
연접차,articulated car,
관절관,articulated pipe,
인공 안테나,artificial antenna,
인공 통풍,artificial draft,
인조 흑연,artificial graphite,
인공 지능,artificial intelligence,
인조 석유,artificial petroleum,
인공 위성,artificial satellite,
인공 통풍,artificial ventilation,人工通?(ジンコウツウキ)
"생주조물, 생주물",as cast,?放し(イバナシ)
아스베스토스,asbestos,石綿(セキメン)
석면,asbestos,石綿(セキメン)
아스베스토스,asbestos,
석면,asbestos,
석면 보온재,asbestos heat insulating material,
석면 패킹,asbestos packing,
석면,asbestus,
회분,ash content,灰分(ハイブン【セイブン】)
재받이,ash pan,
애시 피트,ash pit,
재받이 통,ash pit,
애시 피트,ash pit,
재받이 통,ash pit,
무회탄,ash-free coal,
무회 연료,ash-free fuel,
"종횡비, 가로세로비",aspect ratio,アスペクト比(アスペクトヒ)
아스팔트,asphalt,アスファルト(アスファルト)
아스팔트 콘크리트,asphalt concrete,アスファルトコンクリ?ト(アスファルトコンクリ?ト)
아스팔트 피니셔,asphalt finisher,アスファルトフィニッシャ(アスファルトフィニッシャ)
