한글,영어,일어
산염기평형,acid-base balance,酸?基平衡
항산성,acid-fast,抗酸性--形
항산성염색,acid-fast stain,抗酸染色
산도,acidity,酸 度
"산독증, 산혈증",acidosis,アンド-シス
산성영양호,acidotrophic lake,酸榮養湖
"소포, 선포",acinus,⑴ 腺 房 ⑵ 細 葉 ⑶ 小 胞
아코니트산수화효소,aconitase,アコニタ-ゼ
아코니트산,aconitic acid,アコニット酸
청측선계(聽側線系),acoustico-lateralis system,聽側線系
무두개증,acrania,無頭がい
아크라신,acrasin,アクラシン
단생치(端生齒),acrodont,端生齒
정생(頂生),acrogenous,頂生--形
선단비대증,acromegaly,先端巨大症
견봉(肩峰),acromion,かたさき肩峰
"구전부(口前部), 선체(先 )",acron,先節
향일성(向日性),actinotropism,向日性  (日光屈性)
활성오니,activated sludge,活性汚泥
활성화열,activation heat,活性化熱
액토미오신,actomyosin,アクトミオシン
"뾰족꼴, 예선형(銳先形)",acuminate,銳先形--形
비윤생화,acyclic flower,非輪生花
비윤생엽서(非輪生葉序),acyclic phyllotaxis,非輪生葉序
향축성(向軸性),adaxial,向軸--形
향축성분열조직,adaxial meristem,向軸分裂組織
애디슨병,Addison's disease,ァジソン病
첨가적유전분산,additive genetic variance,相加遺傳分散
"내전근, 폐각근(閉殼筋)",adductor,⑴ 內轉筋 ⑵ 閉殼筋
아데노신탈아미노화효소,adenosine deaminase,アデノシンデアミナ－ゼ
아데노바이러스,adenovirus,アデノウイルス
적합자극,adequate stimulus,適[合]刺激
부착근,adhering root,着生根
지방지느러미,adipose fin,脂びれ
조절기,adjustor,調整器((體))
이류합착,adnation,異類合着
부신 절제,adrenalectomy,副じん*腎*除去
@아드레날린,adrenalin,アドレナリン
부신피질자극 호르몬,adrenocorticotrophic hormone,副じん*腎*皮質刺激ホルモン(ACTH)
흡착크로마토그래피,adsorption chromatography,吸着クロマトグラフィ－
성체형,adult form,成 形
"부정아(不定芽), 막눈",adventitious bud,不定芽
녹포자기,aecium,きび胞子堆
통기조직,aerenchyma,通氣組織
착생식물,aerial plant,着生植物
@호기성 세균,aerobic bacteria,好氣細菌
호기성생활,aerobiosis,好氣生活
딸기상과,aeterio,イチゴ狀果
"구심성, 수입성",afferent,⑴ 求心性--形 ⑵　 導入--形 ⑶ 輸入--形
"후숙, 후숙기",after-ripening,後 熟
후감각,after-sensation,殘感覺
무감마글로불린혈증,agammaglobulinemia,無ガンマグロブリン血症
연령분업,age polyethism,齡間分業
집합과,aggregate fruit,集合果
집합방사조직,aggregate ray,集合放射組織
"집합분포, 응집분포",aggregated distribution,集中分布
무과립백혈구,agranulocyte,無果粒白血球
부레,air bladder,うきぶくろ
기도,air duct,氣 道
아키네트,akinete,アキネ－ト
날개세포,alar cell,翼細胞
경보페로몬,alarm pheromone,警報フェロモン
단백선(蛋白腺),albumen gland,タンパク腺
유배유,albuminous,有胚乳--形
단백세포,albuminous cell,タンパク細胞
알코올발효,alcohol fermentation,アルコ－ル發酵
알돌라아제,aldolase,アルドラ-ゼ
조균류,algal fungi,藻菌類
알긴산,alginic acid,アルギン酸
외래의,alien,外來植物
알리마,alima,アリマ[幼年]
"익상골(翼狀骨), 익접형골(翼蝶形骨)",alisphenoid,翼ちょぅ*蝶* 形骨
알칼리성토양,alkali soil,アルカリ土壤
알카리영양호,alkalitrophic lake,アルカリ榮養湖
알칼리혈증,alkalosis,アルカロ－シス
요낭융모막(尿囊絨毛膜),allantochorion,尿しょぅ*漿*膜
요막산,allantoic acid,アラントイン酸
요막강(尿膜腔),allantoic cavity,尿膜腔
요막,allantoic membrane,尿 膜
"요막병(尿膜柄), 요막자루",allantoic stalk,尿囊柄
요막혈관,allantoic vessel,尿膜血管
시간적격리,allochronic isolation,時間的隔離
타지성(他地性),allochthonous,異地性--形
타발적 천이,allogenic succession,他發遷移
이월동지형(異越冬地型),allohyemie,異越冬地型
이소종,allopatric species,異所種
알로피코시아닌,allophycocyanin,アロフィコシアニン
다른자리입체성단백질,allosteric protein,アロステリックタンパク質
변온생물,allotherm,變溫動物
호생의,alternate,互生--形
만숙성(晩熟性),altricity,晩熱性
날개기편(翅基辨),alula,⑴ 翅基片 ⑵ 小翼
폐포관,alveolar duct,肺胞管
포상샘,alveolar gland,胞狀腺
폐포환기,alveolar ventilation,肺胞換氣[量]
"폐포, 포, 치조(齒槽)",alveolus,⑴ 胞 ⑵ 槽 ⑶ 齒槽 ⑷ 肺 胞 ⑸ 小 窩⑹ 毛 窩
관족,ambulacral foot,管 足
보대판(步帶板),ambulacral plate,步帶板
관족계(管足系),ambulacral system,管足系 步管系
아메바,ameba,アメ－バ類
"변형세포, 아메바성세포",amebocyte,⑴ 變形細胞 ⑵ 遊走細砲
에나멜아세포,ameloblast,エナメル芽細胞
아미드가수분해효소,amidase,アミダ－ゼ
아미드,amide,アミド
아미노화,amination,アミノ化
아미노말단펩티드가수분해효소,aminopeptidase,アミノペプチダ－ゼ
암모쾨테스,ammocoetes,アンモシ－テス[幼生]
암모니아식물,ammonia plant,アンモニア植物
양막류,amniote,[有]羊膜類
양막강(羊膜腔),amniotic cavity,羊膜腔
양막봉선,amniotic raphe,羊膜縫線
아메바상,amoeboid,アメ－バ狀--形
아메바운동,amoeboid movement,アメ－バ運動
양성상체(兩星狀體),amphiaster,　雙星
양서류,amphibian,兩生類
중공유생(中空幼生),amphiblastula,兩域胞胚
양대사경로,amphibolic pathway,兩[方回]性代謝經路
이종과형성,amphicarpy,二形果實形成
외사포위관다발,amphicribral concentric bundle,外師@篩@包圍維管束
"피각(被殼), 외피",amphiesma,外 被
복반수체(複半數體),amphihaploid,異質二倍體
양친매성화합물,amphipathic compound,兩親媒性化合物
단각류(端脚類),amphipod,端脚類
자낭반벽,amphithecium,アンフィテンウム
포경(抱莖),amplexicaul,抱莖--形
포경,amplexicaular,抱莖--形
포접(抱接),amplexus,抱 接
"팽대부, 병낭",ampulla,⑴ 膨大部 ⑵ 補助拍動器官 ⑶ 管足甁囊
"편도체, 편도핵(扁桃核)",amygdala,へん桃體
아미그달린,amygdalin,アミグダリン
아밀로오스,amylose,アミロ－ス
가사(假死),anabiosis,生き返り【蘇生】
혐기성세균,anaerobic bacteria,嫌氣細菌
혐기성배양,anaerobic culture,嫌氣培養
유사체,analogue,⑴ 相似形質 ⑵ 類似體
기왕응답,anamnestic response,旣往反應
무성세대,anamorph,アナモルフ
과민성쇼크,anaphylactic shock,アナフィラキシ－ショック
역형성(逆形成),anaplasia,退 生
"닻, 추(錘), 고정장치",anchor,⑴ 錘 ⑵ おおかぎ*大/いかり枇
발향린(發香鱗),androconium,發香鱗
수포자,androspore,精子體胞子
안드로스텐디온,androstenedione,アンドロステンジオン
양극전기긴장(陽極電氣緊張),anelectrotonus,陽極電氣緊張
풍산포종자,anemochore,風散布種子
풍매,anemophilous,風媒--形
무뇌증,anencephaly,無腦
혈관모세포,angioblast,血管芽細胞
안지오텐시노겐,angiotensinogen,アンギオテンシノ－ゲン
안지오토닌,angiotonin,アンギオトニン
"각의, 모난",angular,角 骨
동물사회학,animal sociology,動物社會學
동물바이러스,animal virus,動物ウィルス
음이온,anion,陰イオン
부등자엽성,anisocotyly,不等子葉性
부등형기공,anisocytic stoma,不等型氣孔  (アブラナ型氣孔)
부등엽성,anisophyllous,不等葉性--形
관절강직증,ankylosis,⑴ 强直〔症] ⑵ 不動結合
"환문, 환상박피(環狀剝皮)",annellation,環 紋
환절분생자자루,annellophore,アネロフォア
일년초,annual herb,一年草
환상,annular,環狀--形
환상비후,annular thickening,環狀肥厚
환문헛물관,annular tracheid,環紋假道管
환문물관,annular vessel,環紋道管
일년생,annuus,一年生
발정휴지기,anoestrus,→ anestrus
이상형성층,anomalous cambium,異常形成層
무산소증,anoxia,無酸素[症]
앞머리방패,anteclypeus,前頭盾
집광엽록소,antenna chlorophyll,アンテナクロロフィル
전방(前房),anterior chamber,前眼房
"전연합(前連合), 전교련",anterior commissure,前交連
전신경공,anterior neuropore,頭神經孔
전근,anterior root,→ ventral root
인상화서,anthela,イグサ形花序
장정기세포,antheridial cell,造精器細胞
안테리디올,antheridiol,アンセリジオ－ル
웅기상(雄器床),antheridiophore,雄器床
위과,anthocarpous fruit,僞 果
안토시아니딘,anthocyanidin,アントシアニジン
탄저병,anthrax,炭そ*疽*
의인주의 (擬人主義),anthropomorphism,擬人主義
사람감염성,anthropophilic,ヒト奇生[性]--形
항옥신,antiauxin,抗オ－キシン
/항체의존성세포독성,antibody dependent cellular cytotoxicity,抗體依存性細胞障害作用
수층분열(垂層分裂),anticlinal division,垂層分裂
항효소,antienzyme,抗酵素
체복(體輻),antimere,f本ふく*輻*(對稱部分)
항미생물스펙트럼,antimicrobial spectrum,抗菌スペクトル
역연동,antiperistalsis,逆ぜん[?]動
반극성 효과,antipolar effect,逆極性?果
"대이주(對耳珠), 대주",antitragus,對 珠(迎 珠)
항비타민,antivitamin,抗ビタミン
"녹각(鹿角), 지각(枝角)",antler,枝 角
"동(洞), 강(腔), 실(室)",antrum,腔/卵胞腔
하대동맥,aorta descendens,下行大動脈
대동맥궁(弓),aortic arch,大動脈弓
대동맥소체,aortic body,大動脈體
대동맥판,aortic valve,大動脈弁
정단모자,apical cap,頂帽
정단시원세포,apical initial,頂端始原細他
정단분열조직,apical meristem,頂端分裂組織
정단고리,apical ring,先端リング【子囊の】
외분비,apocrine secretion,離出分泌
건막(腱膜),aponeurosis,けん*腱*膜
아포플라스트,apoplast,アポプラスト
세포자살,apoptosis,細胞自滅(アポプト－シス)
골돌기,apopyle,後 門
경계색,aposematic coloration,警告色
부속지,appendage,⑴ 外 肢 ⑵ 附屬器[肢]
부속지골격,appendicular skeleton,附屬肢骨格
"미충류(尾蟲類), 유형류(幼形類)",appendicularia,アベンデイクラリヤ[幼生]
승인학명,approved name,承忍學名
무시형(無翅形),apterous form,無翅型
수족관,aquarium,⑴ 水 槽 ⑵ 水生生物飼育槽 ⑶ 水族館
수생,aquatic,水生--形
수생동물,aquatic animal,水生動物
수생군집,aquatic community,水中群集
수계생태계,aquatic ecosystem,水界生態系
수생양치류,aquatic ferns,水生シダ類
수생진균류,aquatic fungi,水生菌類
수중근,aquatic root,水中根
"수양액(水樣液), 전방액(前房液)",aqueous humor,⑴ 水樣液 ⑵ 房 水
아라비난,arabinan,アラビナン
아라비노오스,arabinose,アラビノ－ス
아라키돈산,arachidonic acid,アラキドン酸
수상적응(樹上適應),arboreal adaptation,樹上適應
수상동물,arboreal animal,樹上性動物
고식물,archaeophyte,史前歸化植物
"장란기병, 자기상(雌器床)",archegoniophore,雌器床
원뇌,archencephalon,原 腦
원시세포,archeocyte,原始細胞
구피질(舊皮質),archicortex,原皮質
원피질(原皮質),archipallium,原皮質
세포원질(細胞原質),archiplasm,原ぼう狀原形質
"원새골(原 骨), 원시지느러미",archipterygium,原始びれ
원분활,architomy,原分割
극지식물,arctic plant,寒帶植物
북극지방,arctic region,寒 帶
북계(北界),Arctogaea,北 界
제삼기북극요소,Arcto-tertiary element,第三紀北極要素
제삼기북극식물상,Arcto-tertiary flora,第三紀北極植物群
혈관역,area vasculosa,血管城
그물눈,areola,→ areola
"세포배열, 그물눈형성",areolation,細胞配列
유완책상유조직,arm-palisade parenchyma,有腕さく狀組織
발톱사이반,arolium,爪間盤
각성반응,arousal,目覺め(覺醒)
동맥계,arterial system,動脈系
동맥간,arterial trunk,動脈幹
소동맥,arteriole,細動脈
동맥경화중,arteriosclerosis,動脈硬化
동맥,artery,動脈
아트로포딘,arthropodin,アルスロポディン
관절골,articular bone,關節骨
관절,articulation,關節
피열연골,arytenoid cartilage,披裂軟骨
경상(傾上),ascendent,斜上--形
조낭(造囊)균사,ascogenous hypha,造囊絲
자낭균효모,ascomycetous yeast,子囊菌酵母
자낭자좌(子囊子座),ascostroma,子囊子座
자낭모세포,ascus mother cell,子囊母細胞
"재, 회분",ash,灰分
아스파라기나아제,asparaginase,アスパラギナ－ゼ
아스파르트산아미노기전달효소,aspartate aminotransferase,アスパラギン酸アミノト  ランスフェラ－ゼ
"연합체, 복합군집",association complex,連合體
"집합상수, 연합상수",association constant,會合定數
성상섬유,astral fiber,星絲
"성상세포, 대교세포",astroglia,アストログリア
비대칭상호교환,asymmetrical interchange,非相稱相互交換
이시개화(異時開花),asyngamy,異時開花
집수세포(集受細胞),athrocyte,集受細胞
"재역(載域), 환추골, 환추(環椎)",atlas,環つい*椎*[骨]
폐쇄증,atresia,閉鎖
위새강개구,atrial aperture,出水孔
방실봉쇄,atrioventricular block,房室ブロック
방실결절,atrioventricular node,房室結節
방실판,atrioventricular valve,房室弁
"위새강, 심방",atrium,⑴ 心房 ⑵ 氣門室
위축(萎縮),atrophy,⑴ い*萎*縮 ⑵ 衰退
아트로핀,atropine,アトロピン
감쇠,attenuate,漸先形--形
청모,auditory hair,聽覺毛
이도,auditory meatus,耳道
청각기,auditory organ,聽覺器官
"이소골, 고실소골",auditory ossicle,耳小骨
이와(耳窩),auditory pit,耳 陷(耳窩)
"이판(耳板), 청판(聽板)",auditory placode,耳板
이관,auditory tube,耳管
"이포(耳胞), 청포(聽胞)",auditory vesicle,耳胞
"심방(心房), 외이(外耳)",auricle,⑴ 心耳 ⑵ 心房 ⑶ 耳介 ⑷ 殼翼 ⑸ 耳葉
아우리쿨라리아유생,auricularia,オ－リクラリア[幼生]
"귀꼴(의), 이형",auriculate,耳形--形
아우로베르틴,aurovertin,オ－ロベルチン
오스트레일리아식물구,Australian floral region,オ－ストラリア植物區系區
오타코이드,autacoid,オ-タコイド
자생군체,autocolony,自生群體
"종생태학, 개체생태학",autoecology,個生態學
자발형광,autofluorescence,自己螢光
자생천이,autogenic succession,自發遷移
자율신경계,autonomic nervous system,自律神經系
"자율 반사, 자율신경반사",autonomic reflex,自律神經反射
자동명,autonym,オ－トニム
자가소화작용,autophagy,自食作用
자생포자(自生胞子),autospore,自生胞子
"자절(自切), 자기절단",autotomy,自切
생장계,auxanometer,成長計
유효수,available water,有　水
평균연관,average linkage,平均連結法
조류의,avian,鳥--形
조두체(鳥頭體),avicularium,鳥頭體
조류상,avifauna,鳥相
회피행동,avoidance behavior,回避行動
회피반응,avoidance reaction,回避反應
"축방향의, 축의",axial,軸脈
"축사, 축삭돌기",axial filament,軸絲/　
주축기관,axial organ,[中]軸器官
주축유조직,axial parenchyma,軸方向柔細織
직근,axial root,直 根
중축골격,axial skeleton,中軸骨格
중축태좌(中軸胎座),axile placentation,中軸胎座
"액와, 겨드랑",axilla,えき*腋*窩
액생,axillary,腋生--形
액생분지,axillary branching,腋生分枝
액아,axillary bud,腋芽
액생화,axillary flower,腋花
겨드랑판,axillary sclerite,翅底骨
축삭기점구(軸索起點丘),axon hillock,軸索[小]丘
축삭말단,axon terminal,→ axon ending
축삭형질,axoplasm,軸索しょう*漿*
유축위족(有軸僞足),axopodium,有軸假足
축간(軸桿),axostyle,軸かん*桿*
간균,bacillus,かん@桿@菌
"등뼈, 주, 척주",backbone,⑴ 脊つい*椎*[骨] ⑵ バックボ-ン
세균엽록소,bacteriochlorophyll,バクテリオクロロフィル  (バクテリオビリジン)
"세균, 박테리아",bacterium,細菌
박테로이드,bacteroid,バクテロイド
빵효모,baker's yeast,パン酵母
균형 염류용액,balanced salt solution,平衡?類溶液
평균체,balancer,平均體
사출포자(射出胞子),ballistospore,射出胞子
밴딩 양상,banding pattern,橫じま模樣
"우지(羽枝), 깃가지",barb,羽枝
우소지(羽小枝),barbule,⑴ 小しゅ*鬚*毛 ⑵ 外耳毛 ⑶ 小羽枝
수피,bark,樹皮
주압성,barotaxis,走壓性
밑날개경판,basalar,前翅基骨
기저새연골(基底 軟骨),basalia,止板
바세도우병,Basedow's disease,→ Graves' sisease/グレ－ブス病
기저새골의,basibranchial,基?骨
기절기부,basicoxite,基部基節
저착꽃밥,basifixed anther,底着やく@葯@
후두골기저(後頭骨基底)의,basioccipital,基後頭骨
기본명,basionym,バシオニム
밑가슴판,basisternum,基腹板
바조님,basonym,バシオニム
인피(靭皮),bast,じん皮
인피섬유,bast fiber,じん皮纖維
소익(小翼),bastard wing,小翼[羽]
베이츠 의태,Batesian mimicry,べ-ツ[型]擬態
점심해원양성,bathypelagic,深海浮遊性--形
해안식물,beach plant,海岸植物
"턱수염, 수염",beard,ひ げ
행동,behavior,→ behavior/行動
"행동, 행위",behaviour,→ behavior
복병(腹柄),belly stalk,復柄((莖))
양성종양,benign tumor,良性しゅ*腫*よう
저생(底生)성,benthic,底生[性]--形
벤조산,benzoic acid,安息香酸
벤질아데닌,benzyladenine,ベンジルアデニン  (BA)
편파성,bias,かたより
이심피암술,bicarpellary pistil,二心皮雌ずい
이첨판(二尖瓣),bicuspid valve,二先弁
비더기관,Bidder's organ,ビダ一器官
"월년과, 이년과",biennial fruit,二年果
이년생식물,biennial plant,二年生植物
"이열(二裂)의, 갈라진",bifid,二裂--形
분기한,bifurcate,二又狀--形
양입술형,bilabiate,二唇形--形
"양측의, 좌우동형의",bilateral,左右相稱--形
"쓸개즙, 담즙",bile,膽汁
담즙산,bile acid,　膽汁酸
담관,bile duct,膽管
이열(二裂),bilobed,二裂--形
이실,bilocular,二室--形
절장과(節長果),biloment,節長果
이명,binary name,二名
이출(의),binate,二出--形
빈딘,bindin,バインディン
결합균사,binding hypha,こう@膠@着菌絲
이명식명칭,binomen,二連名
이명식의,binomial,二名法
이항곡선,binomial curve,二項曲線
생화학적산소요구량,biochemical oxygen demand,生化學的酸素要求量 (BOD)
생물기후학,bioclimatology,生物氣候學
생물생태학,bioecology,生物生態學
생물발생법칙,biogenetic law,生物發生原則
생물지표,bio-indicator,生物指標
생물학적효율,biological efficiency,生物學的?率
생물학적 스펙트럼,biological spectrum,生活形スペクトル
"활력, 생명력",biosis,生命
생물사회학,biosociology,生物社會學
동굴생물학,biospeleology,洞くつ生物學
전파수신생물추적법,biotelemetry,生體遠隔測定
생물온도계,biothermometer,生物溫度計
생물극상,biotic climax,生物的極相
생물적방제,biotic control,生物的防除
이회장상,bipalmate,二回掌狀--形
"양분자궁, 이분자궁",bipartite uterus,兩分子宮
이분열,bipartition,二分裂
두발동물의,bipedal,二足性--形
겹깃꼴,bipinnate,二回羽狀--形
이지형(二枝型),biramous,二枝形--形
이열성,biseriate,二列--形
이분포자낭,bisporangium,二分胞子囊
이분포자,bispore,二分胞子
이포자성배낭,bisporic embryosac,二胞子性胚囊
이주피성배주,bitegmic ovule,二珠皮性胚珠
이중흉부 복합체,bithorax complex,　胸系遺傳子群
이윤생(二輪生),biverticillate,二輪生--形
"날개, 엽신",blade,葉 身
"도열병, 아세포",blast,芽細胞
"아세포, 유약세포",blast cell,芽細胞
"재생아, 아체(芽體)",blastema,芽體
무성개체,blastozooid,芽生個體
"맹반(盲班), 맹점",blind spot,盲 斑(盲点)
혈액,blood,血液
혈류,blood flow,血流
혈액아가미,blood gill,血液?
혈장,blood plasma,血しょう*漿*
혈압,blood pressure,血壓
혈당,blood sugar,血糖
혈관,blood vessel,血管
청색광 효과,blue light effect,靑色光?果
남조류,blue-green algae,ラン藻類
보어효과,Bohr effect,ボ-ア效果
"뼈, 골",bone,⑴ 骨 ⑵ 硬骨
골성미로,bony labyrinth,骨性迷路
골질비늘,bony scale,骨鱗
책아가미,book gill,書　
갈피허파,book lung,書肺
연변부,border,へ り【壁孔の】
유연공(有緣孔),bordered pit,有緣壁孔
유연공쌍,bordered pit-pair,有緣壁孔對
식물학,botany,植物學
흡엽(吸葉),bothridium,⑴ 吸 葉 ⑵ 胴感杯
흡구(吸溝),bothrium,吸溝
총수화서,botrys,總穗花序
저생생물군,bottom community,底生生物群集
보우만 주머니,Bowman's capsule,ボ-マン囊
브라키올라리아,brachiolaria,ブラキオラリア[幼年]
상완(上腕),brachium,上腕
포엽(苞葉),bract,ほう @苞@葉
포,bracteate,ほう @苞@--形
소포엽(小苞葉),bracteole,小ほう@苞@
소포,bractlet,小ほう @苞@
열발생(劣發生),bradygenesis,緩慢發生
브라디키닌,bradykinin,ブラジキニン
뇌사,brain sand,腦砂
뇌파,brain wave,腦波
"갈래, 분지",branch,枝
지극,branch gap,枝げき @隙@
"아가미, 새( )",branchia,
"아가미틈, 새열",branchial cleft,?裂
새낭( 囊),branchial pouch,?囊
브리시노리드,brassinolide,ブラシノリド
절단재결합 가설,breakage-reunion hypothesis,切斷再結合假說
유방암,breast cancer,乳がん
번식지,breeding area,繁殖地
브로멜라인,bromelain,ブロメライン
브로모데옥시우리딘,bromodeoxyuridine,ブロモデオキシウリジン
기관세지,bronchiole,細氣管支
육아낭(育兒囊),brood pouch,育兒囊
갈색지방,brown fat,褐色脂肪
털연변부,brush border,刷子緣
선태식물학,bryology,コケ植物學
선태식물류,bryophytes,コケ植物類
볼샘,buccal gland,ほお腺
눈비늘,bud scale,芽 鱗
눈흔적,bud scar,芽 痕
완충작용,buffer action,緩衝作用
완충(용)액,buffer solution,緩衝液
동맥구,bulbus arteriosus,動脈球
"심구, 심장구",bulbus cordis,心臟球
다발초,bundle sheath,維管?束
부르시콘,bursicon,バ-シコン
관목,bush,低 木
판근(板根),buttress,板 根
판근,buttress root,板 根
족사(足絲),byssus,足絲 　
C3 경로,C3 pathway,C3經路
사체식동물,cadavericole,死食者
"조락(早落)성, 쉬이지는",caducous,早落--形
"맹장, 맹낭(盲囊)",caecum,⑴ 盲腸 ⑵ 盲囊
카페인산,caffeic acid,コ－ヒ－酸
즐상기(櫛狀器),calamistrum,くし狀器
석회조류,calcareous algae,石灰藻
석회샘,calciferous gland,石灰腺
호석회식물,calciphilous plant,好石灰植物
혐석회식물,calciphobous plant,嫌石灰植物
칼시토닌,calcitonin,カルシトニン
칼슘 통로,calcium channel,カルシウムチャネル
옥살산칼슘,calcium oxalate,シュウ酸カルシウム
칼슘결합 단백질,calcium-binding protein,カルシウム結合タンパク質
칼로리,calorie,カロリ-(cal)
칼세퀘스트린,calsequestrin,カルセケストリン
캘빈회로,Calvin cycle,カルビン回路
낭외원형질,calymma,囊外原形質
편린(片鱗),calypter,冠弁
원뿌리골무(原根冠),calyptrogen,原根冠
꽃받침조각,calyx lobe,がく《?》 製片
꽃받침통,calyx tube,がく《?》　
카메로스톰,camerostome,⑴ 陷凹部 ⑵ 口室
종형화관,campanulate corolla,鐘形花冠
카나다발삼,Canada balsam,カナダバルサム
카나바닌,canavanine,カナバニン
암,cancer,が ん
회백연모,canescent,灰白軟毛--形
"송곳니, 개",canine,犬 齒/イヌ--形
"수관, 덮개, 임관(林冠)",canopy,林冠  (キャノピ-)
용량성 전류,capacitative current,容量性電流
케이프식물구,Cape floral region,ケ－プ植物區系區
세모체,capillitium,細毛體
캡소머,capsomere,キャプソメア
삭과,capsular,さく果--形
"배갑(背甲), 두흉갑",carapace,⑴ 甲 ⑵ 背甲
카바미드,carbamide,カルバミド
탄소순환,carbon cycle,炭素循環
이산화탄소 동화작용,carbon dioxide assimilation,炭酸同化[作用]
이산화탄소 고정,carbon dioxide fixation,炭酸固定
탄소대사,carbon metabolism,炭素代謝
석탄기,Carboniferous Period,石炭紀
카르복시헤모글로빈,carboxyhemoglobin,一酸化炭素ヘモグロビン
카르복시메틸 셀룰로오스,carboxymethyl cellulose,カルボキシメチルセルロ－ス(CMセルロ－ス)
갑각류학,carcinology,甲殼類學
"분문(噴門), 심장",cardia,噴門
"분문의, 심장성",cardiac,⑴ 心臟--形  ⑵ 噴門--形
분문샘,cardiac gland,噴門腺
강심성 배당체,cardiac glycoside,强心配糖體
심장신경,cardiac nerve,心臟神經
분문구멍,cardiac orifice,噴門
심박출량,cardiac output,心拍出量
분문판,cardiac valve,噴門弁
카르디올리핀,cardiolipin,カルジオリピン
밑마디(基節),cardo,⑴ ちようづかい ⑵ 軸節
용골판형,carinate,深胸類
카르니틴,carnitine,カルニチン
육식동물,carnivore,⑴ 肉食者((生物)) ⑵ 食肉類
벌레잡이 식물,carnivorous plant,肉食植物
목동맥,carotid artery,頸動脈
목동맥소체,carotid body,頸動脈小體
목동맥동,carotid sinus,頸動脈洞
카로틴,carotin,カロテン
손목뼈,carpal,→ carpus
심피,carpel,心 皮
팔목손바닥뼈,carpometacarpus,腕擧骨(手根中手骨)
자실체(子實體),carpophore,心皮間柱
팔목마디,carpopodite,腕 節
사분과포자낭(四分果胞子囊),carpotetrasporangium,四分果胞子囊
사분과포자체,carpotetrasporophyte,四分果胞子體
팔목뼈,carpus,⑴ 腕節 ⑵ 腕骨 ⑶ 手根骨
시식성곤충,carrion feeder,死食動物
연골질성,cartilaginous,軟骨質--形
카리오니드,caryonide,カリオナイド
패랭이꽃형화관,caryophyllaceous corolla,ナデシコ形花冠
영과(潁果),caryopsis,えい@潁@果
계급형,caste,カ－スト
이화물질 활성화단백질,catabolite activator protein,カタボライト活性化タンパク質
강하성(降下性),catadrome,降流[性]--形
외선형(外先型),catadromy,外先型
카탈라아제 검사,catalase test,カタラ－ゼ試驗
촉매작용,catalysis,觸媒[作用]
저출엽(低出葉),cataphyll,低出葉
천변지이설,catastrophism,天變地異說
고양이울음 증후군,cat-cry syndrome,猫泣症候群
카테친,catechin,カテキン
카테콜아민,catecholamine,カテコ－ルアミン
음극전기긴장,catelectrotonus,陰極電氣緊張
털벌레,caterpillar,毛 /　
카텝신,cathepsin,カテプシン
양이온,cation,腸イオン
꼬리쪽,caudal,⑴ 尾[部]--形 ⑵ 尾方--形 ⑶ 尾側--形
미정맥(尾靜脈),caudal vein,尾靜脈
미상핵(尾狀核),caudate nucleus,尾狀核
수간경(樹幹莖),caudex,てい幹
화분덩이자루,caudicle,花粉塊柄
대망막,caul,大 網
줄기모양,caulescent,有莖--形
