한글,영어,일어
분할상환,amortization,
증폭기,amplifier,
아날로그,analog,
아날로그 컴퓨터,analog computer,
AD 변환기,analog to digital converter,
디지털 변환기,analog-to-digital converter,
아날로그  디지털 변환기,analog-to-digital converter,
디지털 변환기,analog-to-digital converter,
아날로그  디지털 변환기,analog-to-digital converter,
아날로그 컴퓨터,analogue computer,
공분산 분석,analysis of covariance,
평균분석,analysis of means,
분산 분석,analysis of variance,
분석적 접근방법,analytic approach,
해석 곡선,analytic curve,
계층적 분석 모형,analytic hierarchy process,
해석 면,analytic surface,
앵커 탈착기,anchor escapement,
계류효과,anchoring effect,
안돈 보드,Andon board,
각가속도,angular acceleration,
향사도,angularity,
어닐링,annealing,
풀림,annealing,
어닐링,annealing,
풀림,annealing,
연간등가,annual equivalent,
연간 등가법,annual value method,
연간 가치,annual worth,
연불액,annuity,
연불계수,annuity factor,
연불기금,annuity fund,
연불기금계수,annuity fund factor,
인체측정,anthropometry,
내중력가속복,anti-g suit,
대조변량법,antithetic variate method,
비주기적 상태,aperiodic state,
응용프로그램 제작도구,application generator,
응용소프트웨어,application software,
평가비용,appraisal cost,
적정 공간,appropriate space,
근사법,approximate method,
에이프런,apron,
적성검사,aptitude test,
아버,arbor,
호,arc,
아크 용접,arc welding,
아크 용접,arc-welding,
지역 보전 방식,area maintenance system,
영역 마케팅,area marketing,
주시역,area of visual regard,
산술평균 거칠기,arithmetic average roughness,
연산회로,arithmetic logic unit,
산술 평균,arithmetic mean,
연산 장치,arithmetic unit,
전기자,armature,
ARMBASIC 언어,ARMBASIC language,
배치 계획,arrangement plan,
아레니우스 법칙,Arrhenius law,
아레니우스 모형,Arrhenius model,
도착률,arrival rate,
화살표 다이어그램,arrow diagram,
분절결합형 로보트,articulating robot,
분절결합형로봇,articulating robot,
분절결합형 로보트,articulating robot,
분절결합형로봇,articulating robot,
명료도지수,articulation index,
인위 기저,artificial basis,
인공기저,artificial basis,
인위 기저,artificial basis,
인공기저,artificial basis,
인공 지능,artificial intelligence,
인공변수,artificial variable,
인위변수 벡터,artificial vector,
자동창고 시스템,AS/RS,
아스키코드,ASCII,
평균검사개수곡선,ASN curve,
조립용이성,assemblability,
어셈블러 언어,assembler language,
조립,assembly,
조립도,assembly chart,
어셈블리언어,assembly language,
조립라인,assembly line,
조립 라인 일정계획,assembly line scheduling,
조립 순서 표,assembly order sheet,
조립공정도,assembly process chart,
자산 감가상각 범위,asset depreciation range,
이상원인,assignable cause,
배정 문제,assignment problem,
구성요소의 연관,association of components,
안정 피로,asthenopia,
비동기식 작동,asynchronous operation,
비동식이동,asynchronous transfer,
비동기식 전송,asynchronous transmission,
열 지수,AT,
Atomatic Tool Changer,ATC,
주의,attention,
계수형 합격판정 샘플링,attributes acceptance sampling,
계수형 관리도,attributes control chart,
속성검색,attributes inspection,
청각적 표시장치,auditory display,
확대 행렬,augmented matrix,
확대계수행렬,augmented matrix,
확대 행렬,augmented matrix,
확대계수행렬,augmented matrix,
자동 설계,auto mated design,
자동 설계,auto-design,
자동운동,autokinetic movement,
오토마타,automata,
무인운반 시스템,automated guided vehicle system,
ALDEP,Automated Layout Design Program,
자동공정계획,automated process planning,
자동 저장,automated storage,
자동 창고 시스템,automated storage/retrieval system,
자동 연계차,automatic aisle transfer car,
자동조립,automatic assembly,
지지대 자동교환장치,automatic attachment changer,
자동 제어,automatic control,
자동 자료 처리,automatic data processing,
디지털 컴퓨터,automatic digital computer,
자동 디지털 계산기,automatic digital computer,
디지털 컴퓨터,automatic digital computer,
자동 디지털 계산기,automatic digital computer,
자동확인 시스템,automatic identification system,
자동검사,automatic inspection,
자동 선반,automatic lathe,
자동보전,automatic maintenance,
자동 팰릿 교환장치,automatic pallet changer,
자동 프레스,automatic press,
로봇손 자동교환장치,automatic robot hand changer,
자동나염기,automatic screen printing machine,
자동 나사 기계,automatic screw machine,
자동 검사 설비,automatic test equipment,
자동 공구 교환장치,automatic tool changer,
자동 용접 기계,automatic welding machine,
자동 프로그램 언어,Automatically Programmed Tool,
자동 프로그램 언어,Automatically Programmed Tooling,
자동화,automation,
오토머튼,automaton,
자기회귀모형,autoregressive model,
자기회귀-이동평균혼합모형,autoregressive-moving average model,
보조 기억장치,auxiliary memory,
가용도,availability,
평균,average,
평균 검사량,Average Amount of Inspection,
평균 가용도,average availability,
평균검사비율,average fraction inspected,
평균 최소치,average minimum,
평균 출검 품질,average outgoing quality,
평균 출검 품질 곡선,average outgoing quality curve,
평균 출검 품질 한계,average outgoing quality limit,
평균 품질보증,average quality protection,
평균수익률,average rate of return,
평균 런 길이,average run length,
평균 표본 수,average sample number,
ASN 곡선,average sample number curve,
평균 표본개수곡선,average sample number curve,
ASN 곡선,average sample number curve,
평균 표본개수곡선,average sample number curve,
평균검사량,average total inspection,
평균 활용률,average utilization rate,
양극점 제어,axis limit control,
배비트 메탈,babbitt metal,
배비트금속,Babbitt metal,
배비트 메탈,babbitt metal,
배비트금속,Babbitt metal,
백플러슁,backflushing,
백 그라운드 뮤직,background music,
백그라운드 처리,background processing,
반동공간,backlash,
추후납품,backlog,
추후납품비용,backlogging cost,
추후납품,backorder,
추후납품비용,backorder cost,
베이클라이트,Bakelite,
균형 지연률,balance delay rate,
균형 효율,balance efficiency,
균형 방정식,balance equation,
불균형 손실,balance loss,
대차대조 표,balance sheet,
균형 지연,balancing delay,
탄도동작,ballistic movement,
대역폭,bandwidth,
바 차트,bar chart,
바 코드,bar code,
바코드 밀도,bar code density,
바코드 라벨,bar code label,
바코드 인쇄기,bar code printer,
바 코드 판독기,bar code reader,
바코드 시스템,bar code system,
협상 문제,bargaining problem,
협상 집합,bargaining set,
바렐 마무리,barrel finish,
기초대사,basal metabolism,
기준 재고 시스템,base stock system,
기준 시간,base time,
베이스밴드 방식,baseband,
기본 용량,basic capacity,
기준 용량,basic capacity,
기본 용량,basic capacity,
기준 용량,basic capacity,
기저가능해,basic feasible solution,
기본 기능,basic function,
기본 길이 단위,basic length unit,
기본 동작,basic motion,
기준 준비 번호,basic scale,
기저해,basic solution,
기본 단위,basic unit,
기저변수,basic variable,
기저,basis,
기저역,basis inverse,
기저행렬,basis matrix,
분배 기준,basis of distribution,
기저벡터,basis vector,
일괄 평균법,batch means method,
일괄 처리,batch processing,
일괄 생산,batch production,
배치 생산방식,batch production system,
일괄 생산 방식,batch production system,
배치 생산방식,batch production system,
일괄 생산 방식,batch production system,
욕조곡선,bathtub curve,
성 대결,battle of the sexes,
보드,baud,
베이즈 전략,bayes strategy,
베이즈 정리,bayes theorem,
베이즈 정리,Bayes' theorem,
베이즈 방식의 추측,Bayesian statistics,
베이즈 방식의 통계,Bayesian statistics,
베이즈 방식의 추측,Bayesian statistics,
베이즈 방식의 통계,Bayesian statistics,
밧볼지수,BB index,
비드,bead,
비딩,beading,
받침대,bed,
비도우식 장려급,Bedaux system,
세전현금흐름,before-tax cash flow,
행동전략,behavior strategy,
행동 과학,behavioral science,
BTR형 직접수치제어,behind-the-tape-reader,
BTR형직접수치제어,behind-the-tape-reader direct numerical control,
기본표준,benchmark,
벤치마크 검사,benchmark test,
굽힘 가공,bending,
비용 혜택 분석,benefit-cost analysis,
비용 혜택 비율,benefit-cost ratio,
비용 혜택 비율법,benefit-cost ratio method,
베르누이 분포,Bernoulli distribution,
베르누이 시행,Bernoulli trial,
최적반응원리,best response principle,
최선의 한계 탐색,best-bound search,
베타 분포,beta distribution,
베벨 기어,bevel gear,
BHC,BHC,
치우침,bias,
편의,bias,
치우침,bias,
편의,bias,
자재명세서,bill of materials,
강편,billet,
쌍행렬게임,bimatrix game,
BCD 코드,Binary Coded Decimal,
비트,binary digit,
이진탐색,binary search,
이진법 비젼,binary vision,
양눈시차,binocular disparity,
양눈시차,binocular parallax,
이항 분포,binomial distribution,
이항 확률 용지,binomial probability paper,
이항확률지,binomial probability paper,
이항 확률 용지,binomial probability paper,
이항확률지,binomial probability paper,
신체역학,biomechanics,
바이오닉스,bionics,
출생사망과정,birth and death process,
비트,bit,
바이트,bite,
제로원 계획법,bivariant programming,
이변량 정규분포,bivariate normal distribution,
블랙 박스,black box,
블랭크,blank,
블랭킹,blanking,
판뽑기 가공,blanking,
블랭킹,blanking,
판뽑기 가공,blanking,
연접,blending,
혼합,blending,
연접,blending,
혼합,blending,
혼합 문제,blending problem,
맹점,blind spot,
블록,block,
블록 주소 양식,block address format,
블록 인자,block factor,
블록 게이지,block gauge,
블록 배치,block layout,
블록 교체,block replacement,
블록 저장,block storage,
분구삼각행렬,block triangular matrix,
블록화,blocking,
차단현상,blocking,
블록화,blocking,
차단현상,blocking,
블록,blok,
블로홀,blowhole,
사전보전,BM,
드릴링 머신,Bohr drilling machine,
장부가,book value,
장부가치,book value,
장부가,book value,
장부가치,book value,
불 대수,boolean algebra,
보링 기계,boring machine,
밧볼지수,Botsball index,
병목 공정,bottle-neck operation,
추정오차한계,bound on error of estimation,
경계 계산,boundary evaluation,
경계표현방식,boundary representation,
유한변수,bounded variable,
박스 젠킨스 모형,Box-Jenkins model,
상자-수염 그림,box-whisker plot,
점자 인쇄,braille print,
브레인 스토밍,brain storming,
분지,branch,
분지한계법,branch and bound method,
분지 한정법,branch-and bound method,
분지한계법,branch-and bound method,
분지 한정법,branch-and bound method,
분지한계법,branch-and bound method,
분지한계법,branch-and-bound method,
분지 설계,branching design,
분지과정,branching process,
땜질,brazing,
너비 우선 탐색,breadth-first search,
측정점,break point,
사후보전,breakdown maintenance,
손익분기점분석,break-even analysis,
손익 분기점 도표,break-even chart,
임계불량률,break-even percent nonconforming,
손익 분기점,break-even point,
브린넬 경도,Brinell hardness,
브리넬 경도,Brinell hardness,
브린넬 경도,Brinell hardness,
브리넬 경도,Brinell hardness,
브리넬 경도계,brinell hardness tester,
브로치,broach,
브로칭,broaching,
브로칭 기계,broaching machine,
브로드밴드 방식,broadband,
브라운-깁슨 모델,Brown-Gibson model,
무브러쉬 직류전동기,brushless DC motor,
B 스케일,B-scale,
BTR형직접수치제어,BTR direct numerical control,
버블정렬,bubble sort,
예산,budget,
예산 제도,budget system,
예산 통제,budgetary control,
부문별 예산,budgeting by department,
버퍼,buffer,
완충재고,buffer inventory,
완충 재고,buffer stock,
마포연마,buffing,
벌크 샘플링,bulk sampling,
벌크 저장,bulk storage,
전자게시판 시스템,bulletin-board system,
번인,burn-in,
번인 기간,burn-in period,
버니싱 다듬질,burnishing,
버스,bus,
경영 분석,business analysis,
경기 지수,business barometre index,
비즈니스 게임,business game,
경영 규칙,business rule,
경영 전략,business strategy,
맞대기 용접,butt welding,
엉덩이 무릎길이,buttock to knee length,
엉덩이 오금길이,buttock to popliteal length,
맞대기 용접,butts welding,
바이트,byte,
바이트 머신,byte machine,
결점수 관리도,c chart,
CAD,CAD,
CAD/CAM시스템,CAD/CAM system,
컴퓨터지원 공학,CAE,
컴퓨터 지원 교육,CAI,
컴퓨터지원 검사,CAI,
컴퓨터 지원 교육,CAI,
컴퓨터지원 검사,CAI,
실제 시간,calendar time,
교정,calibration,
좌표보정,calibration,
교정,calibration,
좌표보정,calibration,
캠,cam,
캔틸레버 래크,cantilever rack,
정전용량,capacitance,
유한용량 수송문제,capacitated transportation problem,
캐패시터,capacitor,
용량,capacity,
가용 용량,capacity available,
용량 관리,capacity control,
여유생산능력,capacity cushion,
용량 계획,capacity planning,
용량 소요 계획,capacity requirements planning,
자본,capital,
자본 자산 가격 모형,capital asset pricing model,
자본예산,capital budgeting,
자본 계수,capital coefficient,
자산이득,capital gain,
자본 손실,capital loss,
자본시장,capital market,
자본 생산성,capital productivity,
자본배분,capital rationing,
자본회수,capital recovery,
자본회수비용,capital recovery cost,
자본 회수계수,capital recovery factor,
자본 회수법,capital recovery method,
자본회수,capital recovery with return,
자본화비용,capitalized cost,
자본화 등가,capitalized equivalent,
자본자산 가격결정모형,CAPM,
컴퓨터 지원 공정계획,CAPP,
탄소강,carbon steel,
침탄,carbonizing cementation,
카드 가법,card addition,
회전저장선반,carousel,
캐리지,carriage,
보관 비용,carrying cost,
카르텔,cartel,
직교좌표로보트,cartesian coordinate robot,
직교좌표 로봇,cartesian coordinate robot,
직교좌표로보트,cartesian coordinate robot,
직교좌표 로봇,cartesian coordinate robot,
표면 경화,case hardening,
사례 기법,case method,
사례 연구,case study,
표면 담금질 강,case-hardening steel,
현금 흐름,cash flow,
현금흐름도,cash flow diagram,
현금흐름표,cash flow table,
주철,cast iron,
주강,cast steel,
주조성,castability,
주조,casting,
주형성형,casting molding,
컴퓨터 지원 검사,CAT,
치명적 고장,catastrophic failure,
음극선관,cathode ray tube,
원인분석,causal analysis,
인과분석,causal analysis,
원인분석,causal analysis,
인과분석,causal analysis,
특성요인도,cause and effect diagram,
특성요인도,cause-and-effect diagram,
질화붕소공구,CBN,
전하결합장치,CCD,
결점수 관리도,c-control chart,
CD 롬,CD-ROM,
셀,cell,
셀 제어기,cell controller,
셀형 제조,cellular manufacturing,
초경합금,cemented carbide,
침탄강,cemented steel,
시멘타이트,cementite,
관측중단 자료,censored data,
관측중단 표본,censored sample,
관측중단,censoring,
무중심 연삭기,centerless grinder,
센터레스 그라인더,centerless grinder,
접촉식 검사,contact inspection,
컨테이너,container,
오염,contamination,
분할표,contingency table,
조건 적응 이론,contingency theory,
부수대안,contingent alternative,
연속성 수정,continuity correction,
연속복리,continuous compounding,
연속형 데이터,continuous data,
연속 변형법,continuous deformation method,
연속수요,continuous demand,
연속형 분포,continuous distribution,
연속적 자재흐름,continuous materials flow,
연속법,continuous method,
연속경로 제어,continuous path control,
연속형 확률분포,continuous probability distribution,
연속생산,continuous production,
연속형 확률변수,continuous random variable,
연속 관측법,continuous reading,
연속 조사 시스템,continuous review system,
연속 샘플링 검사,continuous sampling plan,
연속법,continuous timing,
연속 이송,continuous transfer,
컨투어링,contouring,
대비,contrast,
제어,control,
관리도,control chart,
계수치 관리도,control chart by discrete value,
계량치 관리도,control chart by indiscrete value,
공정해석용 관리도,control chart for analysis data,
공정해석용 관리도,control chart for analyzing data,
공정해석용 관리도,control chart for analyzing process data,
공정관리용 관리도,control chart for controlling production process,
관리도법,control chart method,
컨트롤 파일,control file,
관리 수준,control level,
관리 한계,control limit,
관리한계선,control limit lines,
관리 한계선,control limited line,
관리선,control line,
제어 지시,control order,
관리점,control point,
C 프로그램,Control Program,
제어 프로그램,control program,
통제 프로그램,control program,
C 프로그램,Control Program,
제어 프로그램,control program,
통제 프로그램,control program,
C 프로그램,Control Program,
제어 프로그램,control program,
통제 프로그램,control program,
제어 정밀도,control resolution,
관리 표준,control standards,
제어 장치,control unit,
제어변량법,control variate method,
관리 가능비,controllable costs,
제어인자,controllable factor,
관리 상태,controlled state,
제어기,controller,
감사 제도,controller system,
수렴,convergence,
볼록결합,convex combination,
볼록추,convex cone,
볼록함수,convex function,
볼록 외피,convex hull,
볼록다면추,convex polyhedral cone,
볼록다면체,convex polyhedron,
볼록 계획법,convex programming,
볼록 계획 문제,convex programming problem,
볼록집합,convex set,
컨베이어,conveyor,
컨베이어 방식,conveyor system,
컨베이어 시스템,conveyor system,
컨베이어 방식,conveyor system,
컨베이어 시스템,conveyor system,
중첩,convolution,
냉각재,coolant,
협력게임이론,cooperative game theory,
쿠퍼 밀러법,Cooper-Miller method,
3차원 자동측정기,coordinate measuring machine,
3차원 좌표측정기계,coordinate measuring machine,
3차원 자동측정기,coordinate measuring machine,
3차원 좌표측정기계,coordinate measuring machine,
모방 선반,copy lathe,
모방절삭,copying,
모방 선반,copying lathe,
코어,core,
코어 스택,core stack,
코리올리 착시,coriolis illusion,
코너 반경,corner radius,
전기업 자동화,corporate automation,
기업전략,corporate strategy,
수정항,correction term,
시정 조치,corrective action,
개량 보전,corrective maintenance,
사후 보전,corrective maintenance,
개량 보전,corrective maintenance,
사후 보전,corrective maintenance,
