한글,영어,일어
음향광학소자,acousto-optic device,
음향 광학 효과,acoustooptic effect,音響光??果                                                                                                                                                                                                                                                         
음향광학효과,acousto-optic effect,
음향광학필터,acousto-optic filter,
음향광학변조기,acousto-optic modulator,
포착,acquisition,取得                                                                                                                                                                                                                                                             
신호포착,acquisition of signal,
포착확률,acquisition probability,
아크릴 수지,acrylic resin,アクリル樹脂                                                                                                                                                                                                                                                         
액트비트,act bit,
액티니드원소,actinides,アクチニド                                                                                                                                                                                                                                                          
악티늄계열,actinium series,
활성전류,action current,
활동 전위,action potential,活動電位                                                                                                                                                                                                                                                           
활성스파이크,action spike,
활성탄 처리,activated carbon treatment,活性炭處理                                                                                                                                                                                                                                                          
활성화,activation,活性化                                                                                                                                                                                                                                                            
방사화분석,activation analysis,
방사화단면,activation cross section,
활성화 에네르기,activation energy,活性化エネルギ?                                                                                                                                                                                                                                                       
활성체,activator,
능동적,active,アクティブ                                                                                                                                                                                                                                                          
액티브안테나,active antenna,アクティブアンテナ                                                                                                                                                                                                                                                      
능동안테나어레이,active antenna array,
능동면적,active area,
액티브체인,active chain,アクティブチェイン                                                                                                                                                                                                                                                      
능동 회로,active circuit,能動回路                                                                                                                                                                                                                                                           
능동소자,active component,
능동부품,active component part,
활성전극,active electrode,
능동 소자,active element,能動素子                                                                                                                                                                                                                                                           
활성 파일,active file,使用中のファイル                                                                                                                                                                                                                                                       
능동 필터,active filter,能動フィルタ                                                                                                                                                                                                                                                         
능동4단자망,active four terminal network,
능동자이레이터,active gyrator,
능동호밍유도,active homing guidance,
능동임피던스,active impedance,
활성레이저매질,active laser medium,
방사성격자,active lattice,
능동선,active line,活回線                                                                                                                                                                                                                                                            
능동부하,active load,
능동손실,active loss,
활성물질,active material,
활성매질,active medium,
능동마이크로웨이브센서,active microwave sensor,
액티브미러,active mirror,
능동모드동기,active mode locking,
능동 회로망,active network,能動回路網                                                                                                                                                                                                                                                          
유효전력,active power,
액티브 풀다운,active pull-down,
능동접수,active reception,
상용 용장,active redundancy,"常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           "
상용 용장 요소,active redundancy,"常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           "
상용 리던던시,active redundancy,"常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           ,常用冗長                                                                                                                                                                                                                                                           "
활성영역,active region,
능동중계,active repeating,
능동반사감쇠량,active return loss,
능동위성,active satellite,
유효주사수,active scanning lines per frame,
활성단면,active section,
능동세그멘트결합기,active segment interconnect,
능동소나,active sonar,
활성상태,active state,アクティブ?態                                                                                                                                                                                                                                                        
능동변환기,active transducer,
능동트리밍,active trimming,
활성,activity,活性                                                                                                                                                                                                                                                             
활동비율,activity ratio,活動比率                                                                                                                                                                                                                                                           
방사능응답,activity response,
발전전력량,actual generation,
실제 매개 변수,actual parameter,?パラメタ                                                                                                                                                                                                                                                          
실측위치,actual position,
치부실자속밀도,actual tooth density,
과도회복전압,actual transient recovery voltage,
동작횟수,actuating cycle,
동작신호,actuating signal,
작동장치,actuator,アクチュエ?タ                                                                                                                                                                                                                                                        
비사이클기,acyclic machine,
A-D변환기,A-D converter,"A/D?換器                                                                                                                                                                                                                                                         ,A/D?換器                                                                                                                                                                                                                                                         "
아날로그-디지털 변환기,A-D converter,"A/D?換器                                                                                                                                                                                                                                                         ,A/D?換器                                                                                                                                                                                                                                                         "
적응,adaptation,"適?                                                                                                                                                                                                                                                             ,適?                                                                                                                                                                                                                                                             "
순응조명,adaptational lighting,
결합장치,adapter,アダプタ                                                                                                                                                                                                                                                           
어댑터커넥터,adapter connector,
적응형안테나어레이,adaptive antenna array,
적응부호화,adaptive coding,
적응색상시프트,adaptive color shift,
적응 제어,adaptive control,適?制御                                                                                                                                                                                                                                                           
적응 차분 펄스 부호 변조,adaptive differential pulse code modulation,適?差分パルス符??調                                                                                                                                                                                                                                                    
적응디지탈필터,adaptive digital filter,
적응강조,adaptive emphasis,
적응 등화,adaptive equalization,適?等化                                                                                                                                                                                                                                                           
적응선형예측,adaptive linear prediction,
적응추측부호화법,adaptive predictive encoding,
적응 경로 선택,adaptive routing,適??路選?                                                                                                                                                                                                                                                         
적응분활대역선정,adaptive subband selection,
적응 시스템,adaptive system,"適?系,適?システム                                                                                                                                                                                                                                                     ,適?系,適?システム                                                                                                                                                                                                                                                     "
