한글,영어,일어
접근 권,access right,アクセス?                                                                                                                                                                                                                                                          
접근 루틴,access routine,
접근 규정,access rule,
접근 시간,access time,アクセス時間                                                                                                                                                                                                                                                         
접근장치,access unit,アクセス?置                                                                                                                                                                                                                                                         
접근 유효 처리,access validation process,
접근성,accessibility,アクセス可能性                                                                                                                                                                                                                                                        
접근 가능성,accessibility,アクセス可能性                                                                                                                                                                                                                                                        
접근 기구,accessor,アクセス機構                                                                                                                                                                                                                                                         
액세서리,accessory,アクセサリ                                                                                                                                                                                                                                                          
계정,account,アカウント                                                                                                                                                                                                                                                          
결산식,account form,
계좌식별성,Accountability,責任追跡                                                                                                                                                                                                                                                           
과금,accounting,?計                                                                                                                                                                                                                                                             
셈 검사,accounting check,
과금 정보 시스템,accounting information system,?計情報システム                                                                                                                                                                                                                                                       
회계기,accounting machine,?計機                                                                                                                                                                                                                                                            
과금 처리 루틴,accounting routine,課金ル?チン                                                                                                                                                                                                                                                         
회계 시스템,accounting system,財務?計システム                                                                                                                                                                                                                                                       
누산,accumulation,累算                                                                                                                                                                                                                                                             
어큐뮬레이터,accumulator,累算器                                                                                                                                                                                                                                                            
어큐뮬레이터 래치,accumulator latch,アキュムレ?タラッチ                                                                                                                                                                                                                                                     
누산기 레지스터,accumulator register,
누산기 이동 명령어,accumulator shift instruction,アキュムレ?タシフト命令                                                                                                                                                                                                                                                   
정확도 제어 문자,accuracy control character,正確度制御キャラクタ                                                                                                                                                                                                                                                     
정밀도 제어 시스템,accuracy control system,正確度制御システム                                                                                                                                                                                                                                                      
무채색,achromatic color,
긍정 응답 문자,acknowledge character,肯定?答文字                                                                                                                                                                                                                                                         
확인응답,acknowledgment,肯定?答                                                                                                                                                                                                                                                           
무복각선,aclinic line,
A 변환,A-conversion,
음향의,acoustic,音響の                                                                                                                                                                                                                                                            
음향 결합기,acoustic coupler,音響カプラ                                                                                                                                                                                                                                                          
음향 커플러 모뎀,acoustic coupler MODEM,
음향 결합,acoustic coupling,音響結合                                                                                                                                                                                                                                                           
음향 임피던스,acoustic impedance,音響インピ?ダンス                                                                                                                                                                                                                                                      
음향 기억장치,acoustic memory,音響記憶?置                                                                                                                                                                                                                                                         
음향 변복조장치,acoustic MODEM,音響モデム                                                                                                                                                                                                                                                          
음향 신호,acoustic signal,音響信?                                                                                                                                                                                                                                                           
음향 기억 장치,acoustic storage,音響記憶?置                                                                                                                                                                                                                                                         
소음 방지기,acoustical sound enclosure,
어크로배트,acrobat,アクロバット                                                                                                                                                                                                                                                         
머리 글자,acronym,頭文字                                                                                                                                                                                                                                                            
행위,action,アクション                                                                                                                                                                                                                                                          
행위 막대,action bar,アクションバ?                                                                                                                                                                                                                                                        
활동도,action diagram,
동작요소,action element,
실행 고장,action failure,
행위 부분,action part,動作部                                                                                                                                                                                                                                                            
동작문,action statement,
기동 비트,activation bit,アクトビット                                                                                                                                                                                                                                                         
활성화 기능,activation function,アクティベ?ション??                                                                                                                                                                                                                                                    
블록의 기동,activation of block,ブロックの起動                                                                                                                                                                                                                                                        
활성화 레코드,activation record,活性化レコ?ド                                                                                                                                                                                                                                                        
액티브,active,アクティブ                                                                                                                                                                                                                                                          
액티브 카드,active card,アクティブカ?ド                                                                                                                                                                                                                                                       
실행중인 셀,active cell,アクティブセル                                                                                                                                                                                                                                                        
활성화된 파일,active file,使用中のファイル                                                                                                                                                                                                                                                       
능동 여파기,active filter,能動フィルタ                                                                                                                                                                                                                                                         
능동선,active line,活回線                                                                                                                                                                                                                                                            
활성 물질,active material,
능동 매트릭스 표시,active matrix display,能動マトリックス表示?置                                                                                                                                                                                                                                                   
능동 매트릭스 표시 장치,active matrix display device,能動マトリックス表示?置                                                                                                                                                                                                                                                   
활성화된 페이지,active page,活動ペ?ジ                                                                                                                                                                                                                                                          
활동 페이지 대기 행렬,active page queue,アクティブペ?ジキュ?                                                                                                                                                                                                                                                    
활동 구간,active partition,活動??                                                                                                                                                                                                                                                           
동작 위치,active position,動作位置                                                                                                                                                                                                                                                           
실행 프로그램,active program,活動プログラム                                                                                                                                                                                                                                                        
실수리 시간,active repair time,
활성화된 스타,active star,活動星?形                                                                                                                                                                                                                                                          
능동 단말,active station,アクティブ端末                                                                                                                                                                                                                                                        
